region_scenario,Qe,Qestar,Qeworld,CeHH,CeHF,CeFH,CeFF,Ce,Cestar,Ge,Gestar,Ceworld,Geworld,regionbase,,,(CeHH TJ),CeHF TJ,CeFH TJ,CeFF TJ,Qe TJ,Qestar TJ,,,,CeHH ,CeHF,,,Qe,,,,total,,CeHH
1,4.48004,27.79594,32.27598,4.5984,1.19611,0.4216,26.05987,5.79451,26.48147,5.02,27.25598,32.27598,32.27598,US as Home,,,0.052457221,0.013440948,0.004809491,0.292840432,0.051107004,0.312349028,9.20599E-05,0.00025329,,0.05995111,0.015449366,0.005496561,0.336598197,0.05678556,0.367469445,0.006759771,0.015933273,0.424255005,,0.14130914
2,0.93578,31.3402,32.27598,2.95058,1.01356,0.50767,27.80417,3.96414,28.31184,3.45825,28.81773,32.27598,32.27598,EU28 as Home,,,0.033659366,0.011389594,0.005791353,0.31244151,0.010675108,0.352176649,0.000430066,0.001185238,,0.038467847,0.013091488,0.006618689,0.359128173,0.011861232,0.414325469,0.008880505,0.020837123,0.426186701,,0.090260551
3,8.62549,23.6505,32.27599,11.29367,2.48754,0.91057,17.58421,13.78121,18.49478,12.20424,20.07175,32.27599,32.27599,OECD37 as Home,,,0.12883493,0.027953028,0.01038752,0.197597595,0.098397102,0.265765816,0.000610155,0.001675501,,0.14723992,0.032129918,0.011871451,0.227123673,0.109330114,0.312665666,0.003630818,0.00860392,0.42199578,,0.348913253
4,32.175999,0.1,32.275999,32.146,0.029999999,0.029999999,0.07,32.176,0.099999999,32.176,0.099999999,32.276,32.276,World as Home,,,0.366712298,0.000337117,0.000342231,0.000786605,0.367054517,0.001123722,1.13851E-08,3.09227E-08,,0.419099769,0.00038749,0.000391122,0.000904144,0.407838353,0.001322026,-0.011622146,-0.028404867,0.409160378,,1.024292162
5,7.52274,24.75324,32.27598,7.34547,0.63247,1.93538,22.36266,7.97794,24.29804,9.28085,22.99513,32.27598,32.27598,China as Home,,,0.083795003,0.007107203,0.022078257,0.251294078,0.085817248,0.278157546,0.000299747,0.000823538,,0.095765718,0.008169199,0.025232294,0.288843768,0.095352498,0.327244172,0.004585691,0.010851224,0.42259667,,0.226612572
6,16.14824,16.12775,32.27599,20.10318,1.65596,1.38191,9.13494,21.75914,10.51685,21.48509,10.7909,32.27599,32.27599,OECD and China as Home,,,0.22933128,0.018608383,0.015764431,0.102651309,0.184214465,0.181231037,0.000909901,0.002489839,,0.262092891,0.021388946,0.018016492,0.117990011,0.204682739,0.213212985,-0.001592616,-0.003811038,0.417895724,,0.627172944
7,5.41582,26.86015,32.27597,7.72887,2.02977,0.74938,21.76795,9.75864,22.51733,8.47825,23.79772,32.27597,32.27597,US and EU as Home,,,0.08816872,0.022808967,0.008548711,0.244611192,0.061782113,0.301833352,0.000522126,0.001435928,,0.100764251,0.026217204,0.009769955,0.28116229,0.068646792,0.355098061,0.005831153,0.013760999,0.423744853,,0.237794632
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.14130914,0.036415283,0.012955796,0.793386508,0.133847709,0.866152291,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.090260551,0.030717729,0.015530023,0.842654573,0.027831069,0.972168931,,,,,
,0.138804151,0.861195849,,0.142471274,0.037058828,0.013062345,0.807407552,,,,,,,,,,,,,,,,,,,0.348913253,0.076138007,0.028131683,0.538213137,0.25907869,0.74092131,,,,,
,0.028993078,0.971006922,,0.091417209,0.031402919,0.015729034,0.861450837,,,,,,,,,,,,,,,,,,,1.024292162,0.000947038,0.000955913,0.002209754,0.996768931,0.003231069,,,,,
,0.267241686,0.732758314,,0.349909329,0.077070912,0.028211993,0.544807766,,0.348913253,0.076138007,0.028131683,0.538213137,0.25907869,0.74092131,,,,,,,,,,,,0.226612572,0.019330959,0.059707744,0.683497501,0.22563476,0.77436524,,,,,
,0.996901723,0.003098277,,0.995972239,0.000929483,0.000929483,0.002168794,,,,,,,,,,,,,,,,,,,0.627172944,0.051182495,0.043112411,0.282343187,0.48979381,0.51020619,,,,,
,0.233075495,0.766924505,,0.227583175,0.019595687,0.059963477,0.692857661,,,,,,,,,,,,,,,,,,,0.237794632,0.061870259,0.023056222,0.663517888,0.162000297,0.837999703,,,,,
,0.500317419,0.499682581,,0.622852467,0.05130625,0.042815418,0.283025865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.167797281,0.832202719,,0.239462052,0.062887963,0.023217892,0.674432093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
