,tax_sce,regionbase,pe,tb,region,varphi,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,CeHH_prime,CeFH_prime,CeHF_prime,CeFF_prime,Ge_prime,Ce_prime,Gestar_prime,Cestar_prime,VgFH_prime,VgHF_prime,VgFH1_prime,VgFH2_prime,CeFH1_prime,CeFH2_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,pai_g,subsidy_ratio,welfare,welfare_noexternality
0,Unilateral,US as Home,1,0,1,0,0.015920602,0.793578719,0.015920602,4.4800448,27.795946,32.2759908,4.598403,0.42160103,1.196111,26.059874,5.02000403,5.794514,27.255985,26.48147503,2.810673533,7.974073333,2.810673533,0,0.42160103,0,38.63009333,176.5431669,28.4466895,154.4505817,5.794514,26.48147503,0,0,0,0,-1.287500001,0,0,1.03E-06,8.00E-07,0,0,-3.37E-06,-3.37E-06
7,Unilateral,US as Home,0.998753301,0.03474004,1,0.1,0.015925311,0.793578719,0.015602358,4.328505453,27.778614,32.10711946,4.449378452,0.408080125,1.157347564,26.09227853,4.857458577,5.606726016,27.24962609,26.50035865,2.811504832,7.933867033,2.754489722,0.05701511,0.399783377,0.008296747,38.63009333,176.5431669,28.44752285,154.4498751,5.794514,26.48120917,-0.146471262,-0.01732119,-0.102634805,-0.037655523,0.111829167,-0.017331995,-0.006358909,0.018884652,-0.168870542,-0.094138846,0.005190429,0.021789601,-0.021925166
14,Unilateral,US as Home,0.997896824,0.069415989,1,0.2,0.015938966,0.793578719,0.015300632,4.172249181,27.76670073,31.93894991,4.308392951,0.395550343,1.1206752,26.1143107,4.703943294,5.42906815,27.2349859,26.50986104,2.813915465,7.896280556,2.701221975,0.112693491,0.379629375,0.015920968,38.63009333,176.5431669,28.44994738,154.447826,5.794514,26.48045849,-0.287133209,-0.029214509,-0.08677089,-0.062304454,0.084224536,-0.029245268,-0.020999099,0.028387045,-0.337040087,-0.189194342,0.010326592,0.087317557,-0.08717858
21,Unilateral,US as Home,0.997417246,0.104077124,1,0.3,0.015960928,0.793578719,0.015013992,4.010814672,27.76002775,31.77084242,4.174694965,0.383902676,1.085898424,26.12628386,4.558597641,5.260593389,27.21218228,26.51018653,2.817792855,7.861056149,2.650617622,0.167175234,0.36095749,0.022945186,38.63009333,176.5431669,28.45386127,154.4445302,5.794514,26.47928467,-0.421799807,-0.035871855,-0.071104466,-0.086712714,0.056839894,-0.035918249,-0.043802717,0.028712535,-0.505147577,-0.285267539,0.015410784,0.196200744,-0.196095178
28,Unilateral,US as Home,0.997302745,0.138760057,1,0.4,0.015990633,0.793578719,0.014741255,3.843614227,27.75843431,31.60204854,4.047666195,0.37304648,1.052856407,26.12849469,4.420712676,5.100522602,27.18135109,26.50154117,2.823037063,7.827978918,2.602467816,0.220569247,0.343616719,0.029429761,38.63009333,176.5431669,28.4591743,154.4400727,5.794514,26.47774002,-0.550301114,-0.03746109,-0.055660162,-0.110742415,0.029775832,-0.037511691,-0.074633905,0.020067168,-0.673941464,-0.382428117,0.020443636,0.349017075,-0.348823847
35,Unilateral,US as Home,0.997555787,0.173487946,1,0.5,0.016027559,0.793578719,0.014481468,3.669929903,27.76195561,31.43188551,3.926755997,0.362901944,1.021405919,26.12088663,4.289657941,4.948161916,27.14229255,26.48378858,2.829556104,7.796871718,2.55660425,0.272951854,0.32747764,0.035424305,38.63009333,176.5431669,28.46580327,154.4345315,5.794514,26.47586997,-0.67245378,-0.033948845,-0.040267993,-0.134690017,0.002742051,-0.033990393,-0.113692448,0.002314578,-0.84410449,-0.480748092,0.025423726,0.545612462,-0.546935421
42,Unilateral,US as Home,0.998176728,0.208322625,1,0.6,0.016071281,0.793578719,0.014233497,3.488972352,27.77059466,31.25956701,3.811359689,0.353389544,0.991389674,26.10347754,4.164749233,4.802749362,27.09486722,26.45686709,2.837274784,7.767544434,2.512826648,0.324448136,0.312411272,0.040978273,38.63009333,176.5431669,28.47368112,154.4279706,5.794514,26.47371137,-0.787995108,-0.025328227,-0.024941724,-0.1585145,-0.024209321,-0.025351342,-0.161117782,-0.024606911,-1.01642299,-0.580402267,0.030355189,0.786321659,-0.792379743
49,Unilateral,US as Home,0.999174862,0.243283791,1,0.7,0.016121368,0.793578719,0.01399663,3.299633298,27.78447589,31.08410919,3.701051128,0.344448311,0.962696825,26.07607378,4.045499439,4.663747953,27.03877061,26.42052209,2.846117361,7.7398648,2.471009393,0.375107968,0.29832092,0.046127391,38.63009333,176.5431669,28.48273945,154.4204544,5.794514,26.47129816,-0.896710055,-0.011465379,-0.009623539,-0.182245062,-0.051139262,-0.011470111,-0.217214392,-0.060951906,-1.191880813,-0.681472119,0.035235798,1.072424566,-1.087333645
56,Unilateral,US as Home,1.000577414,0.278426297,1,0.8,0.016177468,0.793578719,0.01377003,3.100643219,27.80396973,30.90461295,3.595300747,0.336011405,0.935189624,26.03803707,3.931312152,4.530490371,26.9732267,26.37404848,2.85602144,7.713691949,2.43100468,0.42501676,0.285105273,0.050906132,38.63009333,176.5431669,28.49292272,154.4120359,5.794514,26.46865804,-0.998275063,0.008026049,0.005850858,-0.206185674,-0.078334052,0.008023733,-0.282758301,-0.107425521,-1.371377048,-0.784188348,0.040067435,1.403325011,-1.436693226
63,Unilateral,US as Home,1.00240034,0.313792059,1,0.9,0.016239245,0.793578719,0.013553024,2.890210196,27.82928586,30.71949606,3.493716425,0.328026544,0.908766075,25.98905332,3.821742969,4.4024825,26.8978194,26.31707987,2.866927679,7.688909756,2.392693703,0.474233976,0.27268358,0.055342964,38.63009333,176.5431669,28.50417791,154.4027656,5.794514,26.46581574,-1.092387096,0.033379866,0.021419846,-0.230110501,-0.105618229,0.033339861,-0.358165602,-0.164394133,-1.556493943,-0.888713605,0.044850112,1.782624727,-1.843679277
70,Unilateral,US as Home,1.00470352,0.349447788,1,1,0.016306405,0.793578719,0.013344956,2.666102132,27.86123871,30.52734084,3.395782267,0.320431947,0.883291987,25.92770588,3.716214215,4.279074255,26.81099787,26.24813783,2.878784394,7.665408902,2.355960709,0.522823685,0.260970915,0.059461032,38.63009333,176.5431669,28.51645926,154.3926874,5.794514,26.46279219,-1.178613747,0.065446204,0.037338943,-0.254474792,-0.133437957,0.065292711,-0.444987131,-0.233336171,-1.748649157,-0.995403709,0.049584848,2.20956796,-2.317082371
77,Unilateral,US as Home,1.007545458,0.385469831,1,1.1,0.01637869,0.793578719,0.01314522,2.425087972,27.9006155,30.32570347,3.301042736,0.313172898,0.858648867,25.8526729,3.614215634,4.159691603,26.71132177,26.1658458,2.891545802,7.6430901,2.320698777,0.570847025,0.249893034,0.063279864,38.63009333,176.5431669,28.5297266,154.3818402,5.794514,26.45960532,-1.256485649,0.105064139,0.053668779,-0.27927344,-0.161836834,0.104669496,-0.544663228,-0.315628197,-1.950286531,-1.104637671,0.054272877,2.68796518,-2.86551686
84,Unilateral,US as Home,1.011035342,0.42194292,1,1.2,0.01645582,0.793578719,0.012953379,2.162420038,27.94889408,30.11131412,3.208983083,0.306188936,0.834702823,25.76141463,3.515172019,4.043685906,26.59611746,26.06760357,2.905162544,7.621876387,2.286830478,0.618332066,0.239378769,0.066810167,38.63009333,176.5431669,28.5439355,154.370266,5.794514,26.45627266,-1.32541598,0.153791227,0.070656343,-0.30483434,-0.191192795,0.152948081,-0.659867544,-0.413870431,-2.164675881,-1.21696054,0.05891265,3.220775032,-3.503545225
91,Unilateral,US as Home,1.015347488,0.459023718,1,1.3,0.016537594,0.793578719,0.012768883,1.870767179,28.00843279,29.87919997,3.118890943,0.299402444,0.811268557,25.64987402,3.418293387,3.9301595,26.46114258,25.94927647,2.919599193,7.601681824,2.254259014,0.665340179,0.229344449,0.070057995,38.63009333,176.5431669,28.55905561,154.3579949,5.794514,26.45280721,-1.384612291,0.214115291,0.088654737,-0.33162789,-0.222045956,0.212486791,-0.794842421,-0.532197534,-2.39679003,-1.333302592,0.063506264,3.811704916,-4.254098016
98,Unilateral,US as Home,1.020809878,0.496929572,1,1.4,0.016623741,0.793578719,0.012591424,1.537245951,28.08367194,29.62091789,3.029771019,0.292706139,0.788087178,25.51038584,3.322477158,3.817858198,26.29847301,25.80309198,2.934807869,7.582449509,2.222929781,0.711878087,0.219694802,0.073011337,38.63009333,176.5431669,28.57504304,154.3450675,5.794514,26.44922401,-1.433016769,0.290714575,0.10836841,-0.360635021,-0.255504181,0.287725943,-0.957511986,-0.678382025,-2.655072106,-1.455196569,0.068050835,4.464089921,-5.158204048
105,Unilateral,US as Home,1.028070737,0.536100931,1,1.5,0.016714024,0.793578719,0.012420655,1.134890658,28.18337233,29.31826299,2.939832688,0.285914458,0.76469292,25.32789047,3.225747146,3.704525608,26.09258339,25.61380493,2.950746667,7.564120747,2.19278177,0.757964896,0.210282076,0.075632382,38.63009333,176.5431669,28.59185967,154.3315195,5.794514,26.44553573,-1.469072324,0.392851455,0.130987859,-0.393343132,-0.293356711,0.387426329,-1.163401607,-0.867669069,-2.957727013,-1.585702376,0.072545029,5.189434514,-6.295370121
112,Unilateral,US as Home,1.039143414,0.577791061,1,1.6,0.016808119,0.793578719,0.012256414,0.582999565,28.33473819,28.91773775,2.843901883,0.278504561,0.739739933,25.05560914,3.122406444,3.583641816,25.79534908,25.3341137,2.967358633,7.546658213,2.163786087,0.803572546,0.200730406,0.077774155,38.63009333,176.5431669,28.60945088,154.3173993,5.794514,26.44175765,-1.490057336,0.549303528,0.160438271,-0.434939312,-0.341653995,0.538792186,-1.460635924,-1.147360296,-3.35825225,-1.734001402,0.076983238,6.003331242,-7.906042033
119,Unilateral,US as Home,1.051308207,0.6207953,1,1.7,0.01690587,0.793578719,0.012098269,0,28.50010674,28.50010674,2.750070783,0.271251342,0.715333109,24.76322595,3.021322124,3.465403892,25.47855906,25.03447729,2.984615777,7.529997901,2.135866721,0.848749056,0.191602976,0.079648366,38.63009333,176.5431669,28.62779215,154.3027308,5.794514,26.43789765,-1.493348267,0.722150036,0.186489013,-0.47073117,-0.383220722,0.704160742,-1.777425942,-1.446996709,-3.775883258,-1.889063539,0.081367579,6.942726828,-9.673857075
126,Unilateral,US as Home,1.049322115,0.656164766,1,1.8,0.017008441,0.793578719,0.011943929,0,28.47317335,28.47317335,2.696240618,0.267940559,0.701331106,24.80750768,2.964181177,3.397571723,25.50883878,25.07544824,3.002724051,7.513884573,2.108619028,0.894105023,0.185456046,0.082484513,38.63009333,176.5431669,28.64710861,154.2873387,5.794514,26.4339121,-1.493348267,0.693861493,0.178085723,-0.459434776,-0.369732725,0.677227353,-1.747146216,-1.406025762,-3.802816647,-1.982893303,0.085754726,7.923997274,-9.795531021
133,Unilateral,US as Home,1.04741012,0.691453467,1,1.9,0.017114749,0.793578719,0.01179471,0,28.4472207,28.4472207,2.644487489,0.264836818,0.68786937,24.85010477,2.909324307,3.332356859,25.53797414,25.11494159,3.021492035,7.498443673,2.082275505,0.93921653,0.179623823,0.085212995,38.63009333,176.5431669,28.66720257,154.2713859,5.794514,26.4298455,-1.493348267,0.666653617,0.170100273,-0.448710989,-0.356911661,0.651274702,-1.718010857,-1.366532409,-3.828769298,-2.076704328,0.090101194,8.912826349,-9.918766885
140,Unilateral,US as Home,1.045575404,0.72666549,1,2,0.017224661,0.793578719,0.011650365,0,28.42229473,28.42229473,2.59468282,0.261925323,0.674914457,24.89092657,2.856608143,3.269597276,25.56584102,25.15285189,3.040896118,7.483636289,2.056792281,0.984103837,0.174084033,0.08784129,38.63009333,176.5431669,28.68805403,154.2548925,5.794514,26.42570415,-1.493348267,0.640568768,0.162531981,-0.438577484,-0.344765742,0.626348727,-1.690143976,-1.32862211,-3.853695273,-2.170517042,0.094406861,9.907557961,-10.04422129
147,Unilateral,US as Home,1.043817743,0.761827664,1,2.1,0.017338127,0.793578719,0.011510567,0,28.39839508,28.39839508,2.546681081,0.25919121,0.662428512,24.92996122,2.805872292,3.209109593,25.59238973,25.18915243,3.060927765,7.469416968,2.032111904,1.028815861,0.168813203,0.090378007,38.63009333,176.5431669,28.70965904,154.2378656,5.794514,26.42149082,-1.493348267,0.615600889,0.155366687,-0.429027607,-0.333279158,0.602449078,-1.663595269,-1.29232157,-3.877594922,-2.264406225,0.09867451,10.90692783,-10.1723631
154,Unilateral,US as Home,1.042113762,0.796901694,1,2.2,0.01745496,0.793578719,0.011375191,0,28.37520611,28.37520611,2.500470013,0.256630607,0.650408346,24.96775582,2.75710062,3.150878359,25.61816417,25.22438643,3.08155394,7.455761821,2.008212288,1.073341653,0.163800604,0.092830002,38.63009333,176.5431669,28.73198703,154.2203333,5.794514,26.4172132,-1.493348267,0.591415592,0.148498385,-0.419869667,-0.322265372,0.579260109,-1.637820833,-1.257087572,-3.900783891,-2.358198534,0.102901352,11.9146271,-10.30050174
