regionbase,tax_sce,region_scenario,tb,prop,te,varphi,pe,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,CeHH_prime,CeFH_prime,CeHF_prime,CeFF_prime,Ge_prime,Ce_prime,Gestar_prime,Cestar_prime,VgFH_prime,VgHF_prime,VgFH1_prime,VgFH2_prime,CeFH1_prime,CeFH2_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,pai_g,subsidy_ratio,welfare,welfare_noexternality,prop2,-175.3079902
US as Home,Baseline,1,0,1,0,2,0.999999963,0.015920602,0.793578719,0.015920602,4.480044718,27.79594549,32.27599021,4.598403168,0.421601045,1.196111044,26.05987495,5.020004214,5.794514212,27.255986,26.481476,2.810673533,7.974073333,2.810673533,0,0.421601045,0,38.63009333,176.5431669,28.4466895,154.4505817,5.794514,26.48147503,-8.19E-08,-5.08E-07,2.419550114,-4.745096553,-9.515021365,-5.08E-07,9.96E-07,2.00E-06,2.10E-07,1.03E-07,0,1.21E-07,1.21E-06,,
EU28 as Home,Baseline,2,0,1,0,2,0.999999978,0.017931574,0.744319382,0.017931574,0.93578117,31.34020165,32.27598282,2.950581165,0.507676021,1.013552022,27.80417361,3.458257186,3.964133188,28.81772564,28.31184964,3.384506733,6.757013333,3.384506733,0,0.507676021,0,26.427554,188.7456601,19.59679029,163.3004417,3.9641331,28.31184901,-1.03E-08,-3.46E-07,-0.109021761,0.515289252,0.514917669,-3.46E-07,1.64E-06,1.64E-06,-3.18E-06,7.48E-08,0,8.58E-06,-1.55E-05,,
OECD37 as Home,Baseline,3,0,1,0,2,1.000000063,0.049234334,0.819497854,0.049234334,8.625495273,23.65050375,32.27599902,11.29366728,0.910578912,2.487536942,17.58421588,12.2042462,13.78120423,20.07175283,18.4947948,6.070526467,16.58358067,6.070526467,0,0.910578912,1.35E-16,91.87470067,123.2986398,69.1573995,113.7399399,13.7812051,18.49479597,2.73E-07,7.50E-07,0.379353731,-0.593311053,-0.102587384,7.50E-07,-1.17E-06,-2.03E-07,-1.98E-06,-3.85E-07,0,5.30E-07,-3.77E-06,,
World as Home,Baseline,4,0,1,0,2,1.000000021,0.299999993,0.999067628,0.299999993,32.17599933,0.100000001,32.27599933,32.14599934,0.029999998,0.029999998,0.069999999,32.17599934,32.17599934,0.099999997,0.099999997,0.199999993,0.199999993,0.199999993,0,0.029999998,6.86E-18,214.5066667,0.66666666,182.3306667,0.566666661,32.176,0.099999999,3.32E-07,1.03E-09,0.000618169,-0.001836098,-0.001836098,1.03E-09,-3.06E-09,-3.06E-09,-1.67E-06,-4.12E-09,0,-1.55E-06,-3.10E-06,,
China as Home,Baseline,5,0,1,0,2,0.999999929,0.079651738,0.920722353,0.079651738,7.522743934,24.75324513,32.27598906,7.345464319,1.935382137,0.632472025,22.36267058,9.280846456,7.977936344,22.9951426,24.29805272,12.90254667,4.216479867,12.90254667,0,1.935382137,0,53.18623853,161.9870067,52.59145953,130.3057989,7.97793578,24.298051,-2.66E-07,-8.74E-07,-0.930099855,0.642972349,0.762162286,-8.74E-07,6.04E-07,7.16E-07,-9.40E-07,9.11E-07,0,1.87E-05,1.52E-05,,
OECD and China as Home,Baseline,6,0,1,0,2,0.999999932,0.131400011,0.92389583,0.131400011,16.14824445,16.12775745,32.2760019,20.10318137,1.381915394,1.655961513,9.134943623,21.48509676,21.75914288,10.79090514,10.51685902,9.212768667,11.03974267,9.212768667,0,1.381915394,0,145.0609427,70.11238867,121.7488734,61.14845827,21.7591414,10.5168583,-5.50E-07,-5.50E-07,0.61072326,-1.261700855,-1.129834673,-5.50E-07,1.14E-06,1.02E-06,9.00E-07,6.28E-07,0,2.21E-06,3.45E-06,,
US and EU as Home,Baseline,7,0,1,0,2,0.99999997,0.033280434,0.792002901,0.033280434,5.415825318,26.86015859,32.27598391,7.728876335,0.749386753,2.029770162,21.76795066,8.478263087,9.758646496,23.79772082,22.51733741,4.995911533,13.53180067,4.995911533,0,0.749386753,-1.81E-16,65.05764133,150.1155782,48.04348937,134.8537472,9.7586462,22.51733673,-8.22E-08,-4.08E-07,-0.195109709,1.350513565,0.676410002,-4.08E-07,2.82E-06,1.41E-06,-2.09E-06,1.52E-07,0,-9.00E-06,-1.54E-05,,
US as Home,Unilateral,1,0.726670704,-71.7681086,2,2,1.04557906,0.017224669,0.793578719,0.011650354,0,28.42234441,28.42234441,2.594669833,0.261924168,0.674911079,24.89083933,2.856594,3.269580911,25.56575041,25.1527635,3.040897566,7.483635224,2.056790441,0.984107125,0.174083006,0.087841162,38.63009333,176.5431669,28.68805558,154.2548912,5.794514,26.42570384,-1.493348267,0.640620719,0.16254697,-0.438606652,-0.344793123,0.626398413,-1.690234587,-1.328710498,-3.853645587,-2.170541974,0.094407176,9.906849432,-10.04467258,,
EU28 as Home,Unilateral,2,0.707228251,-69.6782938,2,2,0.979655217,0.019495246,0.744319382,0.013007192,0,31.01975898,31.01975898,1.749131554,0.333384038,0.600842927,28.33640046,2.082515592,2.349974481,28.93724339,28.6697845,3.679643115,6.332080241,2.455051044,1.224592071,0.218306518,0.11507752,26.427554,188.7456601,19.90677969,163.0495757,3.9641331,28.24089649,-0.31192706,-0.317177762,-0.255083685,0.095141555,0.284929792,-0.320443017,0.119519391,0.357936502,-1.256227017,-2.32476172,0.097706901,5.129406125,-4.377542939,,
OECD37 as Home,Unilateral,3,0.846505909,-83.66348152,2,2,1.057393883,0.054170771,0.819497854,0.03510978,0,24.31973165,24.31973165,5.931860516,0.537895702,1.306548334,16.5434271,6.469756218,7.238408849,17.84997543,17.0813228,6.679182376,15.47757978,4.328988137,2.350194238,0.341062184,0.196833518,91.87470067,123.2986398,69.80068258,113.2225824,13.7812051,18.35039739,-2.875165,0.688344158,0.084113373,-0.279248787,-0.177655147,0.669228651,-2.221778566,-1.413472198,-7.956269349,-5.487147608,0.107209665,8.286231019,-9.033595546,,
