,tax_sce,regionbase,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Cey_prime,Cex_prime,Cem_prime,Ceystar_prime,Ge_prime,Ce_prime,Gestar_prime,Cestar_prime,Vgx_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Cex1_prime,Cex2_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,pai_g,subsidy_ratio,welfare,welfare_noexternality,region_scenario,conv
0,Unilateral,US as Home,0.0,0.9999999558155142,0.0,0.40007955071215373,0.0,0.0159206022142793,0.7935787194577492,0.0159206022142793,4.480044701025761,27.795945385925204,32.27599008695097,4.598403151706301,0.4216010439090752,1.1961110394609988,26.0598748597435,5.0200041956153765,5.7945141911673,27.255985899204497,26.481475903652573,2.81067353705898,7.974073343903247,2.81067353705898,0.0,0.4216010439090752,0.0,38.63009138453887,176.54316710068085,28.44668960388554,154.45058221261235,5.79451393513967,26.481474733582175,-9.897423687113497e-08,-6.14074784131908e-07,7.062311125014005,-10.341512083463774,-21.893402616811066,-6.140747963456761e-07,8.992044975286717e-07,1.9036525742421873e-06,8.69509690915038e-08,1.2418816641712738e-07,0.0,0.00010788101789098326,0.00010788101789098326,1.0,1.0
6,Unilateral,US as Home,0.1,0.9986520773603289,0.04164951344408291,0.39279807788937127,0.1,0.015925104727754456,0.7935787194577492,0.015539001103633881,4.344261328988974,27.777206290498647,32.12146761948762,4.464646447025652,0.40948315928534607,1.1613189897445482,26.086018921426366,4.874129606310998,5.6259654367702,27.247337911170913,26.495502080711713,2.812713050224182,7.964574100441864,2.7433622729815146,0.06935077724266812,0.4000111824165775,0.009471976868768493,38.58407266522553,176.5514800862126,28.35725889608321,154.4443621580244,5.8527007936826765,26.47644846472751,-0.13170965382719302,-0.018727078242376606,-0.12127505050863513,-0.055960106234534936,0.09078348822480263,-0.01873970950135373,-0.008647088829086158,0.014028080711714352,-0.15452238051238254,-0.11327461462518862,0.006214606164515968,0.0914993728676621,0.05149885120722083,1.0,1.0
12,Unilateral,US as Home,0.2,0.997718114718711,0.08324132553419138,0.00027779474004551623,0.2,0.015938134701377785,0.7935787194577492,0.015176854487711146,4.204945100557024,27.764214307612615,31.969159408169638,4.338430536827753,0.3983183941941337,1.1284884095273031,26.103920314312273,4.736748931021887,5.466918946355056,27.232408723839576,26.502238708506408,2.816157561780287,7.955265685544543,2.6794523137230755,0.1367052480572118,0.3800917529897217,0.01822664120441197,38.53897840754558,176.55761348721322,28.271421737083827,154.43251717432742,5.90951800455132,26.473403006476225,-0.2585528135732771,-0.03169548145416052,-0.10341762924646353,-0.07683808847019216,0.0676748311911776,-0.03173169238738538,-0.023576276160422793,0.02076470850640888,-0.3068305918303622,-0.22755074127811925,0.012352183020087226,0.22000656552421133,0.06115082315344322,1.0,1.0
18,Unilateral,US as Home,0.30000000000000004,0.9971778450539668,0.12481114599123827,0.00011726969125135106,0.30000000000000004,0.015959036785396796,0.7935787194577492,0.01483257767593701,4.061770318653239,27.756696054835846,31.818466373489084,4.219066894194624,0.3880049481446378,1.097440203018749,26.11395197619429,4.607071842339262,5.316507097213373,27.21139217921304,26.501956924338927,2.8209195210927875,7.946134170311387,2.6186674842173803,0.20225203687540716,0.36166403862842156,0.026340909516216253,38.49474113347964,176.5616907319415,28.18891667536728,154.41533518002603,5.965062518919232,26.47230400443483,-0.38043808298299175,-0.03919454740694989,-0.08578779955797176,-0.09746561314663817,0.044769107324864436,-0.03924994516415481,-0.04459282078695992,0.0204829243389284,-0.45752362651091616,-0.3428712734426598,0.018414187261050485,0.3856861762438239,0.030374854898751923,1.0,1.0
24,Unilateral,US as Home,0.4,0.9970162535292761,0.16639293285235934,9.156981537580377e-05,0.4,0.01598722796251381,0.7935787194577492,0.014504755342691106,3.9143625678220775,27.754446993356932,31.66880956117901,4.105940790447771,0.37845371424402413,1.0680144704157666,26.116401038026662,4.484394504691795,5.173955260863537,27.184415508442427,26.494854752270687,2.826920964785826,7.937166082237201,2.5607608250636367,0.26616013972218927,0.3445725575230629,0.03388115672096126,38.45129557599487,176.56380763733677,28.10950120237807,154.39303858277714,6.019427115971457,26.47313526370585,-0.49726147666562187,-0.041437079968796565,-0.06834707442757901,-0.11787186638710542,0.022037521987155247,-0.04149900664306827,-0.07156949155757175,0.013380752270688134,-0.6071804388209898,-0.45928989458123803,0.024402091397183523,0.588691576474426,-0.04002082659158746,1.0,1.0
30,Unilateral,US as Home,0.5,0.997223699065412,0.20801963045125324,7.85709752793387e-05,0.5,0.016022187200974217,0.7935787194577492,0.01419212313844395,3.7622863809738276,27.757334226468767,31.519620607442594,3.9985008387923426,0.36958626085615437,1.0400677880535365,26.111463470229914,4.368087099648497,5.038568626845879,27.151531258283452,26.481049731086067,2.8340924184694587,7.928348285560878,2.5055114065962236,0.328581011873235,0.3286815377860371,0.04090472307011731,38.40857809940216,176.56403189116415,28.03294859418986,154.36578280466483,6.072701227817938,26.475902579995182,-0.6089058086956044,-0.038558162161950175,-0.051048831313335714,-0.13809884792319838,-0.000560928189462093,-0.03861177353123324,-0.1044537417165472,-0.000424268913931769,-0.7563693925574064,-0.5768719941657015,0.030317299445987822,0.829247530329586,-0.14974237941565202,1.0,1.0
36,Unilateral,US as Home,0.6000000000000001,0.9977951725182679,0.24972349620407244,6.151954660446664e-05,0.6000000000000001,0.01606344664667617,0.7935787194577492,0.013893547908730807,3.6050269753241118,27.765286458113554,31.370313433437666,3.896251503697595,0.36133328649406704,1.0134712599872682,26.099257419909396,4.257584790191662,4.909722763684863,27.112728679896662,26.460590706403462,2.8423720032910986,7.919667981570181,2.452720956458825,0.38965104683227336,0.3138720213933346,0.04746126510073243,38.36652670083276,176.56240734196697,27.959046189391096,154.3336658986831,6.124971022098273,26.480630901192306,-0.7152407911729423,-0.03062573616915237,-0.033852639030753404,-0.15817602595934777,-0.02305822450039014,-0.030659541886446817,-0.14325632010333678,-0.020883293596536845,-0.9056765665623345,-0.6956942949235798,0.0361611435125655,1.10775431250592,-0.29893648521555366,1.0,1.0
42,Unilateral,US as Home,0.7000000000000001,0.9987313881310177,0.29153774843591845,5.253543706121502e-05,0.7000000000000001,0.016110584616705594,0.7935787194577492,0.01360800740841212,3.441972489502392,27.778309271181392,31.220281760683783,3.7987409015573874,0.353632810866994,0.9881073447678919,26.079801584903837,4.152373712424382,4.786848246325279,27.06790892967173,26.43343439577083,2.8517048090374466,7.911112195753831,2.4022102512692727,0.44949455776817404,0.3000389242652768,0.05359388660171719,38.32507852576614,176.55894879201156,27.887589193445095,154.29671532908634,6.17632255366307,26.487373299581826,-0.8161182235114252,-0.017625540553430196,-0.01670606343854233,-0.17815156055813786,-0.045504621864353896,-0.01763672881860856,-0.18807607032826823,-0.04803960422916731,-1.0557082393162176,-0.8158517796922045,0.041934951518014074,1.424694489169829,-0.488310999594531,1.0,1.0
48,Unilateral,US as Home,0.8,1.00003888103759,0.33349643460874734,4.83388019069242e-05,0.8,0.016163218652383966,0.7935787194577492,0.01333457979246844,3.2723816045142198,27.796486362358223,31.068867966872443,3.705555662155133,0.34642910965195944,0.9638685188349168,26.053014016963104,4.051984771807092,4.66942418099005,27.016882535798022,26.399443126615065,2.8620422498174576,7.9026677341345035,2.353817309836259,0.5082249399811988,0.28708918056116883,0.059339929090790576,38.284169656487016,176.5536420751455,27.81837894493674,154.2548878647761,6.226842049083206,26.496212782487518,-0.9113712159067459,0.0005403728631167134,0.00044764517869207274,-0.19807646421835387,-0.06795574194963393,0.0005403623582225237,-0.23910246420197723,-0.08203087338493376,-1.2071220331275576,-0.9374588841191378,0.0476399735251426,1.7807203984024682,-0.7191381138883362,1.0,1.0
54,Unilateral,US as Home,0.9,1.0017309733232391,0.375636215830782,4.437774246604464e-05,0.9,0.016220999993797655,0.7935787194577492,0.013072429521332795,3.0953419636248416,27.81999261899534,30.915334582620183,3.61631286795871,0.3396714911664716,0.9406551798106777,26.01869507468117,3.9559843591251815,4.556968047769388,26.959350254491845,26.35836656584764,2.8733417092888955,7.894320795802648,2.307394888201099,0.5659468210877966,0.27493979654450607,0.06473169462196555,38.24373323502029,176.5464397911946,27.75121823853842,154.20805856346942,6.276618229837922,26.507269537487822,-1.0008100451091968,0.024067428023842048,0.017672820530597523,-0.21800871970904773,-0.09047656929145559,0.024046618995338775,-0.29663474550815394,-0.12310743415235947,-1.3606554173798173,-1.0606559455025764,0.05327741489936022,2.1766858054237077,-0.9933555622630277,1.0,1.0
