,tax_sce,regionbase,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Cey_prime,Cex_prime,Cem_prime,Ceystar_prime,Ge_prime,Ce_prime,Gestar_prime,Cestar_prime,Vgx_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Cex1_prime,Cex2_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,pai_g,subsidy_ratio,welfare,welfare_noexternality,region_scenario,conv
0,global,OECD37 as Home,0.0,1.0000000711272818,0.0,1.0,0.0,0.04923433442991369,0.8194978536383585,0.04921457837719616,8.625495306754003,23.65050384109798,32.275999147851984,11.293667172613516,0.9105789032899876,2.487536917760308,17.584215711761008,12.204246075903503,13.781204090373823,20.071752629521317,18.494794615050996,6.070526453713265,16.583580631280316,6.068212330794223,0.002518244450606445,0.9102317848768208,0.00034709643630145864,91.87469980395608,123.2986395369031,69.15739934909733,113.73993965729963,13.78120507059341,18.494795930535464,3.0675401269208644e-07,8.410980120487264e-07,0.4541202814353013,-0.7399401499984694,-0.20783922270688548,8.410979788209261e-07,-1.370478681650411e-06,-3.849490042284742e-07,-1.8521480171784788e-06,-4.317800463837784e-07,0.00010552572488153888,3.7976620456742526e-05,3.7976620456742526e-05,3.0,1.0
1,global,OECD37 as Home,0.1,1.033805223061456,0.0,1.0,0.1,0.04923433442991369,0.8194978536383585,0.04923055469417588,8.335126149612865,22.854331955070116,31.18945810468298,10.91347688565975,0.8799251528965489,2.403796414333331,16.992260245468984,11.793402038556298,13.31727329999308,19.396056659802316,17.872185398365534,6.06447479311735,16.567048588761317,6.064032499166425,0.00048131142182475324,0.8798609782424082,6.417387685239855e-05,91.78311063046272,123.17572408235317,69.08845687569769,113.62655319629755,13.767466694469718,18.47635861235298,-0.2807035555384613,0.40311492109504254,-0.7327562016753939,-0.6218782002164166,-0.5730188879959562,-0.7961710449298849,-0.6756973401976829,-0.6226096016344655,-1.0865428953170202,-0.20521550130613875,2.0186977945035878e-05,-1.2173317258448026,-1.3355952842909276,3.0,1.0
2,global,OECD37 as Home,0.2,1.0699627283436026,0.0,1.0,0.2,0.04923433442991369,0.8194978536383585,0.049230901100857594,8.045153801860788,22.059248092587147,30.104401894447935,10.533805803688246,0.8493132646455044,2.320170270710085,16.401113180227494,11.38311906833375,12.85397607439833,18.72128345093758,17.250426444873,6.058223585723439,16.549971420471184,6.057822241499125,0.0004367493486618505,0.8492569994765855,5.626454988924094e-05,91.68850140552861,123.04875562697963,69.01724110068197,113.50942794246826,13.753275310626629,18.45731334404695,-0.5421703495297605,0.8416329146763596,-0.7327572125741522,-0.6218783870419309,-0.573019463834535,-1.5912549074128535,-1.3504705490624183,-1.244368555127,-2.1715991055520654,-0.4247105940900493,1.8336829780252195e-05,-2.297619031286001,-2.7703496318870515,3.0,1.0
3,global,OECD37 as Home,0.30000000000000004,1.1086223877113701,0.0,1.0,0.30000000000000004,0.04923433442991369,0.8194978536383585,0.049232057755967014,7.756341253025612,21.267344317480443,29.023685570506053,10.155653217982433,0.8188238087845002,2.236878590238857,15.812330410434535,10.974477026766934,12.392531808221289,18.049209000673393,16.631154219219034,6.051776040063939,16.532357891540297,6.051510188192827,0.00028930453272481955,0.8187878382131777,3.5970308898774624e-05,91.59092068885509,122.91779933937757,68.9437885766883,113.38862401222583,13.738638203019388,18.437669900906638,-0.7845146053580766,1.3187609973573402,-0.7327575489473268,-0.6218784872417213,-0.5730196904889214,-2.383158682519557,-2.0225449993266054,-1.8636407807809654,-3.2523154294939474,-0.6593950794743995,1.2159232595232439e-05,-3.244968617768761,-4.3069526338778585,3.0,1.0
4,global,OECD37 as Home,0.4,1.1499272603037838,0.0,1.0,0.4,0.04923433442991369,0.8194978536383585,0.049232235652625245,7.469535542701501,20.480943152974813,27.950478695676313,9.780127938038197,0.7885461857287681,2.154165598689152,15.227638350111425,10.568674123766964,11.934293536727349,17.381803948800577,16.016184535840193,6.045138366520539,16.51422496760851,6.04489355683359,0.0002664060949481289,0.7885142520106019,3.1933503398152983e-05,91.49046247178833,122.78298135879027,68.86817005439208,113.26425776589653,13.723569470350034,18.41744720381854,-1.007962224906709,1.8378065131554309,-0.7327577166477611,-0.6218786685045208,-0.5730199244799289,-3.1695598470251873,-2.689950051199421,-2.4786104641598072,-4.3255223043236875,-0.9101374017489414,1.120911040330963e-05,-4.06429757412671,-5.94752431851823,3.0,1.0
5,global,OECD37 as Home,0.5,1.1940084704774332,0.0,1.0,0.5,0.04923433442991369,0.8194978536383585,0.049232430396517694,7.185655850998364,19.702564926535153,26.88822077753352,9.408434952251165,0.7585775505471618,2.072296706142017,14.648913163621343,10.167012502798327,11.480731658393182,16.72120986976336,15.407490714168505,6.038320139115563,16.49559880317368,6.038098295645409,0.00024141388952244732,0.7585496809621917,2.7869414927204222e-05,91.38727165286949,122.64449614346395,68.79049460414996,113.13650858639373,13.70809084739989,18.39667442151959,-1.2128629911571356,2.4021133944591817,-0.7327578168467892,-0.6218783973899341,-0.57301971467911,-3.9479380734648473,-3.3505441302366386,-3.087304285831495,-5.387780222466482,-1.177733554790776,1.0169012090499585e-05,-4.761286518064042,-7.693421383520191,3.0,1.0
6,global,OECD37 as Home,0.6000000000000001,1.240980121323687,0.0,1.0,0.6000000000000001,0.04923433442991369,0.8194978536383585,0.049232804190866904,6.905677748339552,18.934884583915217,25.84056233225477,9.041848939736209,0.7290206772893083,1.9915526727179762,14.078139523628762,9.770869617025516,11.033401612454185,16.06969219634674,14.80716020091807,6.031334456999748,16.476515182747114,6.031156371498436,0.0001937957519909728,0.7289991517026065,2.152548114899551e-05,91.28154648187977,122.50260975063051,68.71091145572076,113.0056219049212,13.692232071636358,18.37539146259458,-1.3996976130156764,3.0149898582169015,-0.7327578832690489,-0.6218786333419368,-0.5730199586182924,-4.715618416084784,-4.002061803653259,-3.6876347990819305,-6.435438667745231,-1.462876204435985,8.172639681780502e-06,-5.34236956434609,-9.545118744095399,3.0,1.0
7,global,OECD37 as Home,0.7000000000000001,1.2909331305699818,0.0,1.0,0.7000000000000001,0.04923433442991369,0.8194978536383585,0.04923293018833278,6.630605620255936,18.18065607987482,24.811261700130753,8.681687666122436,0.6999818139580047,1.9122237487494738,13.51736918840898,9.38166948008044,10.59391141487191,15.429592937158453,14.217351002366984,6.024198096232411,16.457019935489495,6.024034867383906,0.00017762849496138702,0.6999628475788052,1.8966293853847377e-05,91.17354085696552,122.3576629193192,68.62961172739422,112.87191204478984,13.67603122778166,18.35364943789788,-1.5690834877490816,3.6796113958864947,-0.7327579303701861,-0.6218785246690206,-0.5730198772926925,-5.469846920125182,-4.642161062841545,-4.277443997633016,-7.4647392998692474,-1.7661172691552638,7.499710863889675e-06,-5.814628524179841,-11.502067514357195,3.0,1.0
8,global,OECD37 as Home,0.8,1.3439307817001986,0.0,1.0,0.8,0.04923433442991369,0.8194978536383585,0.04923312745570149,6.361446017192571,17.442639305216794,23.804085322409364,8.3292674692269,0.6715670934352894,1.8345998700798558,12.968651693136954,9.00083456266219,10.163867339306757,14.80325156321681,13.640218786572243,6.016931258964126,16.43716825002336,6.016791129700045,0.00015249113822062897,0.6715514532029959,1.56401718019204e-05,91.06356052863016,122.21006597599848,68.546825568599,112.73575752199906,13.659534178411647,18.33150989639977,-1.72176956504161,4.398934124955078,-0.7327579653801142,-0.6218785263313102,-0.573019892805209,-6.207863694783207,-5.268502436783189,-4.854576213427757,-8.471915677590637,-2.0878409130124114,6.446145241367773e-06,-6.185725864320791,-13.56265612049851,3.0,1.0
9,global,OECD37 as Home,0.9,1.4000042365900585,0.0,1.0,0.9,0.04923433442991369,0.8194978536383585,0.04923326276299251,6.099171845117256,16.723501899944434,22.822673745061692,7.985861726825717,0.6438791848472419,1.7589615101974871,12.433969684295493,8.62974091167296,9.744823237023205,14.19293119449298,13.077848869142734,6.009557244255281,16.41702377516886,6.009432976609046,0.0001352302555216157,0.6438658704968651,1.3314304654014704e-05,90.95195811772052,122.06029214856221,68.46281840976127,112.59759487755441,13.642793816653734,18.30904382228433,-1.8586277459168559,5.175596125797673,-0.7327579923182054,-0.6218786938150258,-0.5730200578878211,-6.927001100055566,-5.878822805507019,-5.416946130857266,-9.453327254938308,-2.4282363049987437,5.7234976931219705e-06,-6.46374523133741,-15.724177678403336,3.0,1.0
10,global,OECD37 as Home,1.0,1.4591497351727956,0.0,1.0,1.0,0.04923433442991369,0.8194978536383585,0.04923335864360392,5.844686171677066,16.025720012278363,21.870406183955428,7.652655447948605,0.6170136323785974,1.6855696785392729,11.915168218417653,8.269669080327201,9.338225126487878,13.600737896956925,12.53218185079625,6.002101855221567,16.396657000372496,6.001988846013654,0.00012297862965850647,0.6170020150779337,1.1617264338108962e-05,90.8391241428393,121.90886552484444,68.37788420831453,112.45790756949606,13.625868720298731,18.286329828726664,-1.9806362973687917,6.011830687430394,-0.7327580135990734,-0.6218785391360134,-0.5730199238596038,-7.6247829877216375,-6.471016103043073,-5.962613149203749,-10.405594816044573,-2.7872806195294446,5.211420503914432e-06,-6.657016943429597,-17.982871412662778,3.0,1.0
11,global,OECD37 as Home,1.1,1.5213284326680458,0.0,1.0,1.1,0.04923433442991369,0.8194978536383585,0.04923341942715878,5.598793009018711,15.351498187196913,20.950291196215623,7.330698282382378,0.5910550665516743,1.6146555703897476,11.413881597983844,7.921753348934052,8.945353852772126,13.02853716837359,12.004936664535517,5.9945925201171075,16.376142854665094,5.994486683047949,0.00011517378447659034,0.5910446312242112,1.0435296865882709e-05,90.72547371833161,121.75634320091318,68.29233543579454,112.31720950514199,13.608821156498884,18.263451480136975,-2.0888547722257784,6.909408491939532,-0.732758030762015,-0.6218786242671505,-0.5730200091561554,-8.299004812803087,-7.043216831626408,-6.489858335464483,-11.325709803784378,-3.164738048337223,4.886789303326644e-06,-6.773983872620698,-20.334061656997484,3.0,1.0
12,global,OECD37 as Home,1.2000000000000002,1.5864668221558063,0.0,1.0,1.2000000000000002,0.04923433442991369,0.8194978536383585,0.049233473284703226,5.362164533115893,14.702679484128275,20.06484401724417,7.020872604040728,0.5660746308717969,1.546413536941667,10.931483677296624,7.586947234912525,8.567286140982395,12.477897214238292,11.49755830816842,5.987057471614669,16.355558464603774,5.986957989377902,0.00010825834575577643,0.5660652248537783,9.405992062569102e-06,90.6114341330587,121.60329861140696,68.20649372793424,112.17602966373666,13.59171521858382,18.240494791711043,-2.1843987710033765,7.869584067191732,-0.7327580448361715,-0.6218785653550671,-0.5730199604929191,-8.947823515871725,-7.593856785761707,-6.99723669183158,-12.211156982755831,-3.560162365718713,4.5991485853047465e-06,-6.822971766719559,-22.772290109317687,3.0,1.0
13,global,OECD37 as Home,1.3,1.6544605152172385,0.0,1.0,1.3,0.04923433442991369,0.8194978536383585,0.04923351397671719,5.135325306288627,14.080702216203834,19.21602752249246,6.723863952212481,0.5421275985823003,1.4809945747016093,10.469041839567259,7.265991550794781,8.20485852691409,11.950036414268869,11.01116943814956,5.979524707093044,16.33498031396506,5.979430044980777,0.00010301300246707654,0.5421190161370203,8.582422716071799e-06,90.49742911481273,121.45030041190154,68.12067803992151,112.03489261595749,13.574614465722838,18.21754506178523,-2.268408315374937,8.893090791520411,-0.7327580565364622,-0.6218785665773907,-0.5730199662915907,-9.569800783796166,-8.12171758573113,-7.48362556185044,-13.05997347750754,-3.9729198790145483,4.3818220708535804e-06,-6.8120728023917305,-25.291551397434546,3.0,1.0
14,global,OECD37 as Home,1.4000000000000001,1.7251785644718551,0.0,1.0,1.4000000000000001,0.04923433442991369,0.8194978536383585,0.04923353814893244,4.918639379524419,13.48656458572643,18.40520396525085,6.44014939027168,0.5192524340577139,1.418503761385865,10.027298871452116,6.959401824329394,7.858653151657545,11.445802632837982,10.54655130550983,5.972021125241356,16.314481885103955,5.971929367357786,9.985257018984035e-05,0.5192444559371768,7.978100179903222e-06,90.38386576320974,121.29789494245477,68.03519481031657,111.89430234696978,13.557579962858783,18.194684241368215,-2.342019635803838,9.980149246802089,-0.7327580663757712,-0.6218785658496958,-0.573019969550287,-10.16393841427357,-8.625951367162017,-7.94824369449017,-13.870797034749152,-4.402215668685735,4.252723989850438e-06,-6.748982783779023,-27.885504425372215,3.0,1.0
