,tax_sce,regionbase,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Cey_prime,Cex_prime,Cem_prime,Ceystar_prime,Ge_prime,Ce_prime,Gestar_prime,Cestar_prime,Vgx_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Cex1_prime,Cex2_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,pai_g,subsidy_ratio,welfare,welfare_noexternality,region_scenario,conv
0,Unilateral,US as Home,0.0,1.0000000188061704,0.0,0.7707863153072781,0.0,0.01592056634318261,0.7935787495405133,0.01592056634318261,4.480040042126197,27.795940261367594,32.27598030349379,4.598399913521707,0.4215999920713187,1.1961099775057518,26.05986950991365,5.019999905593026,5.794509891027459,27.255979487419403,26.481469501984968,2.8106666666666666,7.974066666666666,2.8106666666666666,0.0,0.4215999920713187,0.0,38.630066666666664,176.54313333333332,28.446666666666662,154.4505533333333,5.794509999999999,26.481469999999998,4.212619814815947e-08,2.6136759407379216e-07,-0.8611958447079076,1.688932729869257,1.6409397720419898,2.613675924578729e-07,-5.125805984107501e-07,-4.980150336564293e-07,3.0349379187555314e-07,-5.285787629816241e-08,0.0,-2.3569240408855782e-06,-2.3569240408855782e-06,1.0,1.0
6,Unilateral,US as Home,0.1,0.9987528623993549,0.034738673973862884,1.0,0.1,0.015925274733140395,0.7935787495405133,0.01560233488306725,4.328496674644951,27.778601911608394,32.10709858625334,4.449383238315076,0.4080798220646242,1.1573485962902414,26.092285985852325,4.8574630603797,5.606731834605318,27.249634582142566,26.50036580791695,2.811497900582769,7.974066666666666,2.754485087572659,0.05701281301010992,0.39978339570833205,0.00829642635629215,38.630066666666664,176.54313333333332,28.447499948348327,154.44984678450462,5.79451,26.481204157619512,-0.14647497002759924,-0.017327275776307792,-0.1026642778915687,-0.037573216120480854,0.11188802543596975,-0.017338088391607442,-0.006345417857435365,0.018895807916948115,-0.16888141374665366,-0.0941335961433234,0.005190231485591168,0.021878963679050047,-0.02183864499191273,1.0,1.0
12,Unilateral,US as Home,0.2,0.9978959917224095,0.06941852365187962,1.0,0.2,0.01593893103557637,0.7935787495405133,0.015300575243006036,4.172248805653631,27.766683158816036,31.938931964469667,4.308383268250989,0.39554878544310856,1.1206724754235582,26.114328439148995,4.703932053694097,5.429055743674547,27.235000914572552,26.509877224592103,2.8139088270045813,7.974066666666666,2.7012114952027138,0.11269733180186764,0.3796272967751373,0.015921488667971308,38.630066666666664,176.5431333333333,28.449924774705227,154.44779749704605,5.79451,26.480453389953738,-0.28712934970118825,-0.02922605746378258,-0.08680317966526933,-0.06224360689252823,0.08428242148749952,-0.02925684118396532,-0.02097908542744875,0.028407224592100988,-0.33704803553033,-0.18919866454533496,0.010326974092461416,0.0873763926226187,-0.08712397178972854,1.0,1.0
18,Unilateral,US as Home,0.30000000000000004,0.9974157094695218,0.10407859633744528,1.0,0.30000000000000004,0.01596089371205087,0.7935787495405133,0.01501394456914359,4.010810213923085,27.7600003731058,31.770810587028883,4.174692484343948,0.3839017952914372,1.0858975790380654,26.12632007355345,4.558594279635385,5.260590063382014,27.212217652591516,26.510221868844887,2.817786186725757,7.974066666666666,2.6506088179295926,0.1671773687961642,0.3609563123416776,0.022945482949759566,38.630066666666664,176.54313333333326,28.453838635181334,154.44450174128306,5.794510000000001,26.479279579836017,-0.4217994839560747,-0.0358931776614962,-0.07114371133997469,-0.08662905212550459,0.05691530030645311,-0.03593962689420138,-0.04376234740848517,0.028751868844885564,-0.5051694129711137,-0.285266662188115,0.015411022373290395,0.19638160097671348,-0.19593152961931837,1.0,1.0
24,Unilateral,US as Home,0.4,0.9973036419688313,0.13875680472980112,1.0,0.4,0.015990594130247462,0.7935787495405133,0.01474124754327155,3.8436039470350183,27.75844080209518,31.602044749130197,4.0476719633342935,0.3730462532681074,1.0528577140013444,26.128467263806574,4.420718216602401,5.100529677335638,27.18132497780792,26.50151351707468,2.823029591615502,7.974066666666666,2.6024660305314615,0.2205635610840405,0.3436171968721323,0.02942905639597506,38.630066666666664,176.54313333333334,28.459150851258098,154.44004484712684,5.794509999999999,26.477735170960813,-0.5503050598741024,-0.03744863089809129,-0.05564213751458214,-0.11077476967665793,0.029741013025821994,-0.03749919790482181,-0.07465502219208275,0.02004351707467933,-0.6739352508697998,-0.3824205491642596,0.02044314818728077,0.3489664833204793,-0.34886845099127417,1.0,1.0
30,Unilateral,US as Home,0.5,0.9975568314718679,0.1734907147616373,1.0,0.5,0.016027526412006023,0.7935787495405133,0.014481416270356666,3.6699365106478554,27.7619641522198,31.431900662867655,3.9267405112570826,0.36289994637401174,1.0214017034011198,26.120855191477965,4.289640457631094,4.948142214658202,27.142256894879086,26.483755137851976,2.8295497323582897,7.974066666666666,2.5565946034730795,0.27295512888521,0.3274753262108227,0.035424620163189036,38.630066666666664,176.5431333333333,28.465780936714896,154.4345027274954,5.794509999999999,26.475864802513296,-0.6724459868459127,-0.033934334958679035,-0.04025196007715377,-0.13473035071238137,0.0027072548177016257,-0.03397584778020146,-0.11372310512091488,0.0022851378519739285,-0.8440793371323423,-0.4807577508491234,0.025424101684850764,0.5454041715202733,-0.5471118528704979,1.0,1.0
36,Unilateral,US as Home,0.6000000000000001,0.9981783750624338,0.2083188997437597,1.0,0.6000000000000001,0.016071238953063633,0.7935787495405133,0.014233493335741748,3.4889626357792816,27.770611571284334,31.259574207063615,3.8113637685080284,0.35338914476308786,0.9913905526161574,26.103430627989585,4.1647529132711165,4.802754321124186,27.09482118060574,26.456819772752674,2.8372668813225697,7.974066666666666,2.5128255117709672,0.32444136955160247,0.31241166858515496,0.04097747617793289,38.630066666666664,176.5431333333333,28.47365722724895,154.42794315087576,5.794510000000001,26.4737066251527,-0.7879978898330774,-0.025305355761794473,-0.0249196028709104,-0.15855755694649662,-0.024252348243818785,-0.025328428715667428,-0.16115881939425947,-0.024650227247327905,-1.0164057929363821,-0.5803950070552744,0.030354613722955004,0.7861655682261649,-0.7925101328128258,1.0,1.0
42,Unilateral,US as Home,0.7000000000000001,0.9991786341863698,0.243281619052301,1.0,0.7000000000000001,0.01612132695517022,0.7935787495405133,0.013996619037697333,3.2996346290497245,27.78452233756212,31.084156966611843,3.701043947292105,0.3444469044989271,0.9626947798789927,26.07597147540356,4.045490851791032,4.663738727171098,27.038666255282553,26.420418379902486,2.846109574156875,7.974066666666666,2.4710069809880717,0.37510259316880346,0.2983202449994273,0.04612665949949984,38.630066666666664,176.54313333333332,28.48271566641574,154.4204268619666,5.794509999999999,26.471293383662964,-0.8967064545101996,-0.011412973078000658,-0.009579998135649054,-0.18233725866134748,-0.051225407117662394,-0.011417662437882115,-0.21731374471744758,-0.061051620097515524,-1.1918230333881539,-0.6814749517694909,0.03523536643416414,1.0719062398653456,-1.0877486490856816,1.0,1.0
48,Unilateral,US as Home,0.8,1.0005763470724376,0.27842298072936816,1.0,0.8,0.016177426476103596,0.7935787495405133,0.013770018031143446,3.100625695210094,27.80394890051196,30.904574595722053,3.595310735948819,0.33601160801368896,0.9351920503600691,26.038061005863174,3.9313223439625076,4.530502786308888,26.973253056223243,26.374072613876862,2.856013559360969,7.974066666666666,2.431002129274561,0.42501143008640746,0.28510595167325387,0.05090565634043508,38.630066666666664,176.54313333333334,28.49289884341605,154.41200847454314,5.794509999999998,26.46865328115348,-0.9982807962496911,0.008011208354324905,0.005839921942099644,-0.2061585457479048,-0.07831191694893826,0.008008900511956796,-0.28272694377675833,-0.10739738612313943,-1.3714054042779438,-0.784174099326024,0.04006701726358186,1.4035715163752558,-1.4365072566936194,1.0,1.0
54,Unilateral,US as Home,0.9,1.0024016829874318,0.3137927700966808,1.0,0.9,0.016239208659572454,0.7935787495405133,0.013552991056380751,2.8902143114844994,27.82929850098425,30.71951281246875,3.4937086315998718,0.3280252393668517,0.9087638812071421,25.98901450905128,3.8217338709667237,4.402472512807014,26.897778390258424,26.317039748418132,2.866920779614712,7.974066666666666,2.3926875071321008,0.47423327248261127,0.2726824437757242,0.055342795591127494,38.630066666666664,176.5431333333333,28.504155044692293,154.4027373373275,5.794510000000001,26.46581072056938,-1.0923829234938742,0.03339855124874162,0.021432190316302266,-0.23013759147067553,-0.1056432495969777,0.03335850098424942,-0.35820160974157744,-0.1644302515818694,-1.556467187531247,-0.888717272537634,0.04485015473193432,1.7823953024782573,-1.8438486822023863,1.0,1.0
