,tax_sce,regionbase,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Cey_prime,Cex_prime,Cem_prime,Ceystar_prime,Ge_prime,Ce_prime,Gestar_prime,Cestar_prime,Vgx_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Cex1_prime,Cex2_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,pai_g,subsidy_ratio,welfare,welfare_noexternality,region_scenario,conv
0,Unilateral,US as Home,0.0,0.9999998674290187,0.0,0.7685008303767404,0.0,0.015920602214279298,0.7935787194577492,0.015920602214279298,4.480044503038022,27.79594415753202,32.27598866057004,4.598403112774475,0.42160104033964074,1.196111029334269,26.059874639110713,5.020004153114116,5.794514142108744,27.255985668444982,26.481475679450355,0.5027821883067372,1.4264275066827035,0.5027821883067372,0.0,0.42160104033964074,0.0,6.910273151513337,31.58060113177053,0.9666247032964678,5.248264395054275,5.7945133739243175,26.481472168775134,-2.969619579286229e-07,-1.842467858053177e-06,-1.3755612758901998,0.49905183868899616,1.2538545577331655,-1.8424679808504152e-06,6.684449829208461e-07,1.679450356562029e-06,-1.3394299571700685e-06,-0.02421903132781489,0.0,9.758289047757558e-05,9.758289047757558e-05,1.0,1.0
6,Unilateral,US as Home,0.1,0.9989119907511097,0.0743136834106066,0.9269387660192756,0.1,0.019329808061870256,0.7935787194577492,0.015240692298183329,4.41966279632508,27.780820761615704,32.200483557940785,4.536961372282589,0.504064206658002,1.1801291456973864,25.979328796047962,5.041025578940591,5.717090517979975,27.159457941745348,26.483393002705963,0.6079798393025587,1.423315380628168,0.48130931262915466,0.12667052667340406,0.399073287382418,0.10499091927558404,6.895196576630962,31.584519412252057,0.669658923252896,5.1822470095507995,6.1357283254026145,26.48423543211319,-0.05957183182635579,-0.01511700943823189,-0.20031719111377047,-1.278395003421707,0.025415085834125183,-0.01512523838429658,-0.09652705825465091,0.0019190027059643455,-0.07550644205921486,-0.06280912575417263,0.05866868070626008,5.474132232363791,5.364865289214117,1.0,1.0
12,Unilateral,US as Home,0.2,0.9982468225719614,0.14829965840394893,0.0,0.2,0.023132497068471376,0.7935787194577492,0.014599371619608168,4.358663489765147,27.77156969875879,32.13023318852394,4.477082509190232,0.6017914606650477,1.164553789032853,25.886803962149475,5.07887396985528,5.641636298223085,27.05135775118233,26.488595422814523,0.7252628242521479,1.4202413313128097,0.46105025279027867,0.2642125714618692,0.3780468903303708,0.22374457033467696,6.880304463045919,31.58829715914124,0.37081798284400347,5.106640759322299,6.468398517890854,26.49822045822379,-0.11812233364004465,-0.024354930126092182,-0.16723953408664613,-1.403894931190064,0.04885825055039716,-0.024376301241211706,-0.20462724881766903,0.007121422814524436,-0.1457568114760619,-0.10144931086778852,0.11062765945459152,11.221374402459828,10.799518973998696,1.0,1.0
18,Unilateral,US as Home,0.30000000000000004,0.9980466600770157,0.22189716458915348,0.0,0.30000000000000004,0.02732562553784622,0.7935787194577492,0.01399458074690205,4.2969768225156875,27.768785264469898,32.065762086985586,4.418705301084829,0.7155004783011476,1.1493690345073877,25.78218636819601,5.134205779385977,5.568074335592216,26.9315554027034,26.49768684649716,0.8546816973830975,1.4172051403898045,0.4419399666972684,0.41274173068582914,0.35841819815397613,0.3570822801471714,6.865595752985423,31.592033797687186,0.06718104091719924,5.020566590522898,6.792737900987907,26.52545983882068,-0.17568916913101187,-0.027134204133323354,-0.1291966187584265,-1.5432279788381666,0.07712033223699452,-0.027160735530102897,-0.32442959729660004,0.016212846497161593,-0.21022791301441401,-0.14012977996963805,0.15691863882444412,17.272391420761696,16.359715861166148,1.0,1.0
24,Unilateral,US as Home,0.4,0.998350748558649,0.2950508250773687,1.8026801316383622e-05,0.4,0.031901249046354566,0.7935787194577492,0.01342432386939129,4.234534755029701,27.773015289469566,32.00755004449927,4.361772811230433,0.8457080743271326,1.134560072054068,25.6655089099805,5.207480885557565,5.496332883284501,26.800068982034567,26.51121698430763,0.9961794196302072,1.414206494089131,0.4239154932012069,0.5722639264290003,0.3400900749087386,0.5056179994183941,6.851068926402683,31.595872127315424,-0.24434269094219083,4.923277441738355,7.1089653342109,26.567837162211895,-0.2323016637906453,-0.02291179867575247,-0.08542212163484189,-1.6983910503002198,0.11079939367502421,-0.02293071053043505,-0.455916017965432,0.02974298430763156,-0.26843995550073174,-0.1788420827242867,0.1983800861317222,23.659687385664494,22.105827208605852,1.0,1.0
30,Unilateral,US as Home,0.5,0.9991939056184489,0.36771261240203723,1.556275739575486e-05,0.5,0.03684704491844394,0.7935787194577492,0.012886661320645308,4.17127172820809,27.78474066345479,31.95601239166288,4.306231160405102,0.9927235001090655,1.1201128869095,25.536945231216272,5.298954660514168,5.426344047314602,26.65705811812577,26.529668731325337,1.1496074139764463,1.41124497504518,0.4069157169864254,0.7426916969900208,0.3229712392548446,0.6697522608542208,6.836721961386072,31.600000213460618,-0.5669527209060239,4.8141881662959705,7.4173048489377145,26.627043900727617,-0.2879807676204466,-0.011200819962291829,-0.03501912713030912,-1.8717774815143178,0.15061907480276562,-0.011205336545209832,-0.5989268818742275,0.04819473132533858,-0.3199776083371191,-0.2175792893174664,0.23569535673626307,30.41726369098382,28.10203242158287,1.0,1.0
36,Unilateral,US as Home,0.6000000000000001,1.0006057922603246,0.43984366285990806,1.283822456816901e-05,0.6000000000000001,0.04214700002541611,0.7935787194577492,0.012379703148373899,4.107127369584265,27.804364009779327,31.911491379363593,4.252028060379749,1.1566522319322798,1.1060138781504973,25.396796090557274,5.408680292312029,5.3580419385302465,26.502809968707773,26.553448322489555,1.314744531177845,1.4083200248008416,0.39088115770946463,0.9238633734683803,0.3069756713821761,0.8496765605501035,6.822552152511613,31.604650556796607,-0.9038990700344625,4.692887627436247,7.717988890158497,26.70455551682501,-0.3427372035687516,0.00842055943323325,0.023094764431834662,-2.0663316365290973,0.19746116559752733,0.008418009779326496,-0.7531750312922263,0.07197432248955593,-0.36449862063640737,-0.256336560557338,0.26942786244642225,37.58015740935427,34.41531618735794,1.0,1.0
42,Unilateral,US as Home,0.7000000000000001,1.0026100777576779,0.5114156276293598,1.0427389940651478e-05,0.7000000000000001,0.04778216535363809,0.7935787194577492,0.01190160948181028,4.042047200926813,27.83219715103832,31.87424435196513,4.199112302958287,1.3374080230985672,1.0922497257860477,25.24547406453298,5.536520326056855,5.291362028744335,26.33772379031903,26.58288208763155,1.4913157845964697,1.4054309449953548,0.3757539761507708,1.1155618084456989,0.2920223002596923,1.045385722838875,6.808556116597483,31.610097037698104,-1.2584242397943155,4.559151468669042,8.011257415964996,26.801610205574853,-0.3965716733331279,0.03629844992318209,0.09023408521197362,-2.285678050708523,0.25241863384852303,0.036251151038317886,-0.9182612096809706,0.10140808763155107,-0.40174564803486845,-0.29511123882097123,0.3000468099952034,45.18395757089981,41.11433617422207,1.0,1.0
48,Unilateral,US as Home,0.8,1.005224811764119,0.5824102449262989,9.02063516774953e-06,0.8,0.05373146954463102,0.7935787194577492,0.011450591710190958,3.975986268385872,27.868465690802857,31.844451959188728,4.147432611129467,1.5347326475167296,1.078807091925322,25.08348064817651,5.682165258646197,5.226239703054789,26.162287740101835,26.61821329569324,1.679011985514652,1.4025768553447633,0.3614779936585771,1.317533991856075,0.2780346913951845,1.2566979561215452,6.794729589141936,31.61664980455587,-1.6337176578684274,4.412925602886944,8.297361367237103,26.919218702373882,-0.4494728766998571,0.07270905939736844,0.168049358213062,-2.5344167986721677,0.3168649870036461,0.07251969080285647,-1.093697259898164,0.13673929569324272,-0.43153804081127234,-0.3339035326488784,0.32794656236995634,53.26432983932637,48.26842842627674,1.0,1.0
54,Unilateral,US as Home,0.9,1.0084624672977047,0.6528206352595809,8.58847903704923e-06,0.9,0.05997240862210166,0.7935787194577492,0.011024923513293903,3.908907856772214,27.913309369186504,31.822217225958717,4.0969381021440165,1.748217088722488,1.065672741230723,24.91138771089533,5.845155190866505,5.16261084337474,25.977060452126054,26.659604799617817,1.8775043047705098,1.3997567335796508,0.34799902992146736,1.5295052748490425,0.26494109388111026,1.4832759948413776,6.781067617800137,31.62464903678789,-2.032870017999146,4.25431790390382,8.576557815663872,27.058169828989307,-0.501419853093229,0.1178596122979868,0.25863907202115505,-2.8184250378970317,0.39255506237492455,0.11736336918650281,-1.2789245478739453,0.17813079961781852,-0.45377277404128336,-0.3727161125765771,0.353460836520086,61.856538877654025,55.94656268269045,1.0,1.0
60,Unilateral,US as Home,1.0,1.012329553354621,0.7226493603873154,8.39245282195196e-06,1.0,0.06648178066229714,0.7935787194577492,0.010622943432796792,3.840783266470525,27.96677684577219,31.807560112242715,4.04757843175387,1.977328931688236,1.0528335784365903,24.72981949905812,6.0249073634421055,5.10041201019046,25.78265307749471,26.707148430746358,2.0864588228974474,1.3969694358549658,0.3352649800658165,1.7511938428316312,0.2526742673300778,1.7246546643581584,6.767564661258756,31.634457654639736,-2.4588405409153644,4.083597066529299,8.849107360673356,27.219030543492345,-0.5523833443254931,0.17188290434964013,0.36468818544026343,-3.1452560159199083,0.4817677877618506,0.17083084577219054,-1.473331922505288,0.22567443074635918,-0.468429887757285,-0.4115539424179995,0.37687410807510313,70.99510557566556,64.21635921717022,1.0,1.0
66,Unilateral,US as Home,1.1,1.0168284385035777,0.7919090511845437,7.99225154353466e-06,1.1,0.07323626157331498,0.7935787194577492,0.0102430628242899,3.771594898255987,28.028851413394875,31.800446311650862,3.999303145193275,2.2214374182534105,1.040276479530018,24.539428302804133,6.220740563446686,5.039579624723293,25.57970478233415,26.76086572105754,2.3055486670151213,1.3942136697531304,0.32322604121764825,1.9823226257974729,0.24117138968366125,1.9802660285697493,6.754214458450589,31.646454366334428,-2.9144396702530675,3.9011438069710476,9.115276265353044,27.40219509453309,-0.6023247832558012,0.23486240524370286,0.48976659579567056,-3.5249762718649436,0.5875206167228474,0.23290541339487447,-1.6762802176658482,0.27939172105754295,-0.47554368834913774,-0.4504247645649121,0.39843018445292144,80.71341247359088,73.14355166208414,1.0,1.0
72,Unilateral,US as Home,1.2000000000000002,1.0219566275790086,0.860620209163684,7.659604088752188e-06,1.2000000000000002,0.08021292872739796,0.7935787194577492,0.00988376950690404,3.701333034082878,28.099441727147894,31.800774761230773,3.9520626973566237,2.4798401837439488,1.0279885571138345,24.340883103448125,6.431902881100573,4.9800512544704585,25.368871660561958,26.820723287192074,2.5344617611417246,1.3914880598665407,0.31183483219885816,2.2226269289428666,0.23037397765431375,2.249466206089635,6.741010346266435,31.66102613112363,-3.402311111006455,3.7074580679535734,9.37532965649848,27.607880444653823,-0.6512000733655454,0.30682156810964534,0.6386489792160825,-3.971070760116044,0.7138855396782018,0.30349572714789375,-1.8871133394380415,0.33924928719207514,-0.475215238769227,-0.48933828540016633,0.41833914265021255,91.04353169133384,82.79120538978701,1.0,1.0
