,tax_sce,regionbase,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Cey_prime,Cex_prime,Cem_prime,Ceystar_prime,Ge_prime,Ce_prime,Gestar_prime,Cestar_prime,Vgx_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Cex1_prime,Cex2_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,pai_g,subsidy_ratio,welfare,welfare_noexternality,region_scenario,conv
0,Unilateral,US as Home,0.0,0.9999999788662426,0.0,0.3162538369466241,0.0,0.015920602214279298,0.7935787194577492,0.015920602214279298,4.48004475265991,27.795945706283607,32.27599045894352,4.598403182701288,0.42160104675082655,1.1961110475232422,26.059875035396974,5.020004229452114,5.7945142302245305,27.255986082920217,26.4814760821478,2.8106735351153427,7.974073338389016,2.8106735351153427,0.0,0.42160104675082655,0.0,38.6300913578254,176.5431669785977,28.446689431191153,154.45058127497254,5.794514107764672,26.48147552249471,-4.7340089664659975e-08,-2.9371638782586436e-07,0.6399837496372148,-2.3595936653775307,-4.536827998915879,-2.9371639342912204e-07,1.082920217498895e-06,2.0821478017296613e-06,4.5894351785591425e-07,2.283672256970857,0.0,0.00010748122554179489,0.00010748122554179489,1.0,1.0
6,Unilateral,US as Home,0.1,0.9990561512061489,0.02207212993471417,0.0,0.1,0.01592442081084906,0.7935787194577492,0.015718193792024063,4.29974221821943,27.78282531823118,32.08256753645061,4.421059994015946,0.4054437799060926,1.1499815241296611,26.10608107315158,4.826503773922038,5.5710415181456066,27.25606259728124,26.511524853057672,2.8135454791805943,7.96911739931161,2.7749898173204124,0.03855566186018185,0.4004442223227982,0.004999557583294393,38.606082501723925,176.5503220390442,28.518123161668587,154.45017440264243,5.688748143745285,26.495340645976633,-0.1731435228374156,-0.013114489311736637,-0.06783432248794291,0.00040118029631422446,0.1553638212761169,-0.01312068176882164,7.759728124057119e-05,0.03005085305767352,-0.19342246354938908,2.2725376055625275,0.00330564717032944,0.08669874781573196,0.036628334603302594,1.0,1.0
12,Unilateral,US as Home,0.2,0.9984060970295598,0.044092266127319174,7.761417668291184e-06,0.2,0.015935548578405564,0.7935787194577492,0.015526099403600968,4.112130510474796,27.773785145467663,31.88591565594246,4.251941846793787,0.3902217396082691,1.1059914527522625,26.137762460035837,4.642163586402056,5.357933299546049,27.2437539127881,26.527984199644106,2.8176961315982223,7.964297288761594,2.741103089473703,0.07659304212451928,0.3806533681695525,0.009568371438716626,38.58273166169521,176.55600244692337,28.588993819473085,154.45350792211684,5.585636694680492,26.502485036440095,-0.33852719194584086,-0.022143191058687776,-0.05681187412076678,-0.031355784860574575,0.11923419305230216,-0.022160854532337737,-0.012231087211898028,0.046510199644107075,-0.3900743440575418,2.261275553733022,0.006589673747792735,0.22353048005180318,0.02157685758084019,1.0,1.0
18,Unilateral,US as Home,0.30000000000000004,0.9980487855802913,0.06609580850766025,6.7955951399413315e-06,0.30000000000000004,0.015953538644154656,0.7935787194577492,0.015343562601383504,3.9162475242363364,27.76881483353464,31.685062357770978,4.090359066374682,0.3758404035359196,1.0639614390562304,26.154901538499292,4.466199469910602,5.1543205054309125,27.218862977555524,26.530741942035213,2.823020374611308,7.959601038460653,2.70888058869569,0.11413978591561753,0.3620966020097846,0.01374380152613497,38.55998085787564,176.56017778018426,28.659399063536043,154.46068189831502,5.48494237257466,26.50290784841442,-0.49582179055355385,-0.027104692795591346,-0.04591284029804183,-0.06281991193447614,0.08337389980501228,-0.027131166465359513,-0.03712202244447482,0.049267942035214674,-0.5909276422290226,2.2498679549521614,0.009852226833335309,0.4111755983692175,-0.04773683634132529,1.0,1.0
24,Unilateral,US as Home,0.4,0.9979883398901649,0.08811876962944575,5.397871404999158e-06,0.4,0.01597799814967746,0.7935787194577492,0.015169910508973079,3.7108920667478404,27.767973927450782,31.47886599419862,3.9356656449475778,0.36221378116268926,1.0237234470845404,26.157261803435333,4.297879426110267,4.959389092032119,27.180985250519875,26.519475584598023,2.8294221193698115,7.955016809356842,2.6782038594219024,0.15121825994790916,0.3446554737304418,0.017558307432247438,38.53777273643375,176.56279322506668,28.7294441058707,154.47187229782386,5.386427848069853,26.49649803641711,-0.6446584327525304,-0.02794393267667179,-0.03509124345226174,-0.09408793228441806,0.0476733661531372,-0.027972072549218296,-0.07499974948012422,0.03800158459802461,-0.7971240058013791,2.2382936780162157,0.013093434826779937,0.6505115340102593,-0.17488025595276452,1.0,1.0
30,Unilateral,US as Home,0.5,0.9982353410968706,0.11019917153383742,4.660665062119525e-06,0.5,0.01600858226217555,0.7935787194577492,0.015004542259275187,3.494534117741246,27.771409989007964,31.26594410674921,3.787241358591728,0.34926199154813853,0.985116147642238,26.144324480038385,4.136503350139867,4.772357506233966,27.129440627680623,26.493586471586525,2.836812114870269,7.950532421682594,2.6489666365712106,0.18784547829905857,0.32822201958891994,0.021039971959218542,38.516048292954395,176.56376160982074,28.7992476911075,154.48735649364673,5.2898458678269975,26.483004129948792,-0.7846165210068747,-0.024514358960531047,-0.024291976390368585,-0.12528576489935367,0.011992001222382987,-0.02453601099203695,-0.1265443723193762,0.012112471586526397,-1.0100458932507905,2.2265271068806203,0.016313433794028276,0.9427130834645352,-0.3646173659191484,1.0,1.0
36,Unilateral,US as Home,0.6000000000000001,0.9988088157323392,0.1323786892533345,3.924043486704194e-06,0.6000000000000001,0.01604498935557446,0.7935787194577492,0.014846923209657335,3.2651736437813805,27.77938602024373,31.044559664025112,3.6444752499640183,0.3369090779028645,0.9479806219049768,26.115195249139443,3.981384327866883,4.592455871868995,27.06317587104442,26.452104327042306,2.8451055349974155,7.946134865189559,2.6210737019022705,0.22403183309514513,0.31269631338289905,0.024212764519965495,38.4947444997902,176.56295172305965,28.868948637108467,154.50754997937256,5.194928699456295,26.46198932462139,-0.9152084529382627,-0.016550115782954504,-0.013447760114793516,-0.1565733142370054,-0.02385004827288186,-0.016559979756269883,-0.19280912895557734,-0.029369672957692217,-1.2314303359748884,2.2145362618019773,0.019512326558795867,1.2892989387232487,-0.6233504392174695,1.0,1.0
42,Unilateral,US as Home,0.7000000000000001,0.9997393911069039,0.1547053169196807,3.4708950403905625e-06,0.7000000000000001,0.016086958217777416,0.7935787194577492,0.014696578472932723,3.0201108273207686,27.7923238286323,30.812434655953066,3.506741831802449,0.32508024612539665,0.912154171606764,26.06845944677026,3.831822077927846,4.418896003409213,26.980613618377024,26.393539692895654,2.8542192920589335,7.9418095164046845,2.594439539467351,0.2597797525915824,0.2979835822073483,0.02709666391804837,38.47379051408885,176.56017034419168,28.938717064002706,154.53306324132694,5.1013710894301845,26.43276094510556,-1.0358571428354544,-0.0036216993724171326,-0.0024749124673935845,-0.1881523529281336,-0.06008266613354965,-0.003622171367702265,-0.2753713816229748,-0.08793430710434436,-1.4635553440469344,2.2022796878862323,0.02269019122106397,1.6922411298943982,-0.9598073263018095,1.0,1.0
48,Unilateral,US as Home,0.8,1.0010752406333498,0.1772376780126131,3.151086260128528e-06,0.8,0.01613426702520399,0.7935787194577492,0.014553090900391981,2.755547672463736,27.810885650439943,30.566433322903677,3.373364097056071,0.31369792406618585,0.8774606974407927,26.001910694529435,3.687062021122257,4.250824794496864,26.879371391970228,26.315608618595622,2.864068213728799,7.937538833544019,2.5689875820596395,0.2950806316691602,0.283990501683545,0.029707422382640868,38.453101355353176,176.55512902948283,29.008773709645705,154.56480738968327,5.008801667375768,26.394238040496422,-1.1458618614177374,0.014947681580246024,0.00873890327246529,-0.22029898924991967,-0.09702245244427844,0.014939650439941943,-0.3766136080297713,-0.16586538140437668,-1.709556677096323,2.189701120883767,0.025847047344903173,2.154078774201086,-1.3862839183844593,1.0,1.0
54,Unilateral,US as Home,0.9,1.0028931599799118,0.20005250778370348,2.817259980000328e-06,0.9,0.016186735817907163,0.7935787194577492,0.01441610182394161,2.4658390733593083,27.8361260184699,30.30196509182921,3.2435485470758163,0.30267523158310855,0.8436937989539849,25.912048967243194,3.546223778658925,4.087242346029801,26.75574276619718,26.214724198826303,2.874559053368548,7.9332999698928575,2.5446495936012745,0.3299094597672732,0.270619425810161,0.032055805772947525,38.4325663435532,176.54738290301165,29.079425959781656,154.60418934885251,4.916730473256544,26.34470568455108,-1.2443431784411834,0.040238128087439075,0.020354362451856296,-0.25341232105645684,-0.13512990645132045,0.0401800184699006,-0.500242233802819,-0.2667498011736953,-1.9740249081707901,2.1767196176293675,0.02898283063090057,2.6781440825481386,-1.9209193833481635,1.0,1.0
