,tax_sce,regionbase,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Cey_prime,Cex_prime,Cem_prime,Ceystar_prime,Ge_prime,Ce_prime,Gestar_prime,Cestar_prime,Vgx_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Cex1_prime,Cex2_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,subsidy_ratio,delta_Vg,delta_Vgstar,welfare,welfare_noexternality,Qe1_prime,Qe1star_prime,Qe2_prime,Qe2star_prime,region_scenario,conv
0,Unilateral,US as Home,0.0,1.0,0.0,0.5,0.0,0.015920566343182608,0.7935787495405133,0.015920566343182608,4.48004,27.79594,32.275980000000004,4.5984,0.4216,1.19611,26.05987,5.02,5.79451,27.25598,26.48147,2.810666666666666,7.974066666666666,2.810666666666666,0.0,0.4216,0.0,38.630066666666664,33.46666666666666,28.446666666666662,154.45055333333332,5.79451,26.48147,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,7.105427357601002e-15,0.0,-0.0,-0.0,-0.0,0.0,4.1216368,24.1824678,0.3584032,3.6134722000000004,1.0,1.0
7,Unilateral,US as Home,0.1,0.998379764103803,0.034725978946739046,0.31688324914814514,0.1,0.015925274803777208,0.7935787495405133,0.015602332529317909,4.3456814292197095,27.773412881611186,32.119094310830896,4.451044852796867,0.4082322209070574,1.1577808061236217,26.102036769980586,4.859277073703924,5.608825658920489,27.259817576104208,26.510268990887642,2.8114979130532296,7.974066666666667,2.7544846720343754,0.05701324101885444,0.3999326337932697,0.008299587113787739,37.751950566149794,32.437051980725116,28.447499960865024,154.4498467739047,5.794509999999999,26.48120415367199,-0.12954365038746338,-0.02250886629983388,-0.14358937713263467,0.024460969796107363,0.18356671688900267,-0.02252711838881538,0.0038375761042068746,0.028798990887640485,-0.15688568916910128,0.005190270720179302,-0.18872458261380756,0.02867060367039036,0.019571211088692444,-0.02104111570919934,3.9813939315735967,24.162869207001734,0.3642874976461125,3.6105436746094544,1.0,1.0
14,Unilateral,US as Home,0.2,0.9971434308478573,0.06936724702921707,0.11338397112497932,0.2,0.015938931583401945,0.7935787495405133,0.015300566250756915,4.206819851707556,27.75621109523895,31.963030946946507,4.311630588461755,0.3958469351073031,1.1215171501315653,26.134037346346606,4.707477523569058,5.43314773859332,27.255554496478172,26.52988428145391,2.813908923719411,7.9740666666666655,2.701209907682878,0.11269901603653314,0.3799132066747603,0.01593372843254281,36.92676552487899,31.47600304056821,28.449924872138926,154.4477974148385,5.794509999999999,26.480453360229944,-0.25358656864816176,-0.0396721470520243,-0.126950071819714,-0.0013596574831490089,0.15470339654816992,-0.039728904761052064,-0.0004255035218285741,0.04841428145390836,-0.3129490530534902,0.010327130402824958,-0.3731215802681015,0.0479562654498385,0.07812806738232515,-0.08389549615634692,3.8366896876937586,24.147903652857885,0.37013016401379756,3.6083074423810637,1.0,1.0
21,Unilateral,US as Home,0.30000000000000004,0.9962764340732495,0.10396211161095051,0.0549686210601837,0.30000000000000004,0.01596089549819446,0.7935787495405133,0.015013925311312504,4.0629907909993985,27.744141728917665,31.80713251991706,4.179457313779936,0.3843400168091564,1.0871369797288881,26.15619634617946,4.563797330589092,5.266594293508824,27.24333332590835,26.540536362988615,2.8177865020571424,7.9740666666666655,2.6506054180917515,0.16718108396539094,0.3613678301340128,0.022972186675143638,36.14975546161171,30.57708536161738,28.453838954035074,154.4445014732514,5.794509999999999,26.479279485628773,-0.3719656777681541,-0.05170180396368988,-0.11048000316259374,-0.02697396195755364,0.1259820421305552,-0.05179827108233681,-0.012646674091651988,0.05906636298861301,-0.4688474800829354,0.015411370902414179,-0.5535322033213509,0.05814557324519229,0.17554892922976753,-0.18855669149971774,3.6870535889371943,24.13740330415837,0.37593720206220416,3.6067384247592966,1.0,1.0
28,Unilateral,US as Home,0.4,0.9957692610126668,0.13854755523937268,0.03868766221009383,0.4,0.015990598214709113,0.7935787495405133,0.01474121499911365,3.913639718549817,27.7370789941008,31.650718712650615,4.053893881998497,0.3736197988317955,1.054476124564462,26.16872851306428,4.427513680830293,5.108370006562959,27.223204637628744,26.542348311896077,2.8230303126991654,7.974066666666666,2.602460285083854,0.22057002761531114,0.34414463164944886,0.0294751671823467,35.4167251439547,29.734649746708598,28.4591515831016,154.4400442342057,5.794510000000001,26.477734961301092,-0.48450086690044925,-0.05873644913142804,-0.09413825402293458,-0.05241866565927873,0.09736459481467695,-0.05886100589920318,-0.032775362371257444,0.06087831189607584,-0.6252612873493817,0.020443760485285956,-0.7302852552669591,0.059411832562061576,0.31191401246893524,-0.3355208395023773,3.5319248615232706,24.131258724867696,0.38171485702654634,3.6058202692331043,1.0,1.0
35,Unilateral,US as Home,0.5,0.995618114072339,0.17316029512445835,0.029925195376099323,0.5,0.016027534228032842,0.7935787495405133,0.01448136717616165,3.758097995708932,27.7349738207996,31.493071816508532,3.9343642999152073,0.3636047308843233,1.0233847605192194,26.171718819564518,4.29796903079953,4.957749060434427,27.19510358008374,26.53532355044884,2.82955111222416,7.9740666666666655,2.556585936230063,0.27296517599409736,0.32811000904125975,0.035494721843063584,34.72395719375382,28.943713541258273,28.465782342366087,154.43450155460943,5.79451,26.47586441162179,-0.590990099399986,-0.06083255689660336,-0.0778714292249664,-0.07775678067992224,0.06878654685747805,-0.06096617920040259,-0.06087641991626214,0.05385355044883866,-0.7829081834914646,0.025425060564429502,-0.9037065546670863,0.05179309382003703,0.4874425712089707,-0.5258978796981785,3.3706280994196,24.12942722409565,0.3874698962893321,3.605546596703948,1.0,1.0
42,Unilateral,US as Home,0.6000000000000001,0.9958251089007814,0.20783761684662477,0.028673792352539203,0.6000000000000001,0.016071252298926076,0.7935787495405133,0.01423342449340095,3.5955457707723273,27.73785680258805,31.333402573360374,3.820339283216135,0.3542217064944681,0.9937252131279687,26.16511612480302,4.174560989710603,4.814064496344104,27.15884133793099,26.519337831297488,2.8372692374429427,7.974066666666666,2.5128133581284167,0.3244558793145261,0.3131458632387867,0.04107584325568144,34.068147810308076,28.199867789087214,28.473659636300116,154.42794114817346,5.79451,26.4737059741861,-0.6912057270126352,-0.05796190962949417,-0.061621672416902,-0.10305642732748108,0.04017476997352742,-0.058083197411953336,-0.09713866206901045,0.037867831297486276,-0.9425774266396232,0.030356007702248666,-1.074123570865593,0.03518546532538805,0.7025491437898161,-0.7614567583065837,3.202336014700498,24.1319354182516,0.3932097560718291,3.605921384336446,1.0,1.0
49,Unilateral,US as Home,0.7000000000000001,0.9963991763914799,0.24261875419042628,0.026250219778658462,0.7000000000000001,0.016121348196779295,0.7935787495405133,0.013996526477023099,3.4249594768575924,27.745850730193062,31.170810207050653,3.7113265314049775,0.34540442702417634,0.9653694279485925,26.148709893283517,4.056730958429154,4.6766959593535695,27.114079321232108,26.494114320307695,2.84611332421709,7.974066666666665,2.4709906400366193,0.3751226841804713,0.2991470877225102,0.04625733930166618,33.44635136884746,27.49919798562887,28.482719514940094,154.42042367441545,5.794509999999999,26.471292372155173,-0.7848885186754181,-0.04999906138489686,-0.04532269170447294,-0.1283971745094532,0.011441065787682725,-0.050089269806939285,-0.14190067876789314,0.012644320307693135,-1.1051697929493436,0.035237307096853465,-1.2418738700496303,0.009318605221713103,0.9578755950236822,-1.0447584199263495,3.02601664267083,24.138890135267964,0.3989428341867622,3.6069605949250985,1.0,1.0
56,Unilateral,US as Home,0.8,0.9973579036552735,0.27754628654633107,0.02450864243594008,0.8,0.016177458591653322,0.7935787495405133,0.013769897341309636,3.2450346190295942,27.759195937873468,31.00423055690306,3.6068592690414936,0.337091722610942,0.9381959899732997,26.122084178754214,3.943950991652436,4.545055259014793,27.060280168727513,26.459175901365157,2.856019229140732,7.9740666666666655,2.4309808223131393,0.42503840682759325,0.28601923642426474,0.05107248618667729,32.85593281037498,26.838216558146172,28.49290468363439,154.41200365523036,5.79451,26.46865178673347,-0.8717387564411099,-0.036695510748844556,-0.02889253250786213,-0.1538823801612403,-0.017530260190682424,-0.036744062126533805,-0.19569983127248847,-0.022294098634844772,-1.2717494430969367,0.04006963426409327,-1.4073186225371523,-0.02629267709391764,1.2542928992399516,-1.3794057771215082,2.840355633075475,24.150500465949918,0.4046789859541192,3.6086954719235513,1.0,1.0
63,Unilateral,US as Home,0.9,0.998730204170429,0.312668604688613,0.02323944033486169,0.9,0.016239255368132182,0.7935787495405133,0.013552837262278844,3.054063611360929,27.778286809887593,30.83235042124852,3.5064847880914827,0.3292259433615826,0.9120871433290064,26.08455270238418,3.8357107314530654,4.418571931420489,26.996639845713187,26.41377864574576,2.8669290256902107,7.974066666666664,2.392660355839462,0.47426866985074867,0.2736765116395038,0.05554943172207878,32.29453169846631,26.21381081456428,28.504163570124046,154.4027303281633,5.794509999999999,26.46580859480773,-0.9514048990897,-0.01764198095207658,-0.012228337776007603,-0.17964452800357883,-0.04688969750313858,-0.017653190112408623,-0.25934015428681434,-0.06769135425424011,-1.4436295787514766,0.04485359979439163,-1.570859015426375,-0.07241724406152439,1.5929647454474294,-1.770391140234869,2.6436334463301763,24.167109524602207,0.41043016503075297,3.6111772852853874,1.0,1.0
