,tax_sce,regionbase,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Cec_prime,Cecstar_prime,Cey_prime,Cex_prime,Cem_prime,Cex1_prime,Cex2_prime,Ceystar_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Vgx_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,subsidy_ratio,delta_Vg,delta_Vgstar,delta_UCec,delta_UCecstar,welfare,welfare_noexternality,Qe1_prime,Qe1star_prime,Qe2_prime,Qe2star_prime,region_scenario,conv
0,Unilateral,US as Home,0.0,1.0,0.0,0.5,0.0,0.018967789768514706,0.7401534307632966,0.018967789768514706,4.7114,28.9239,33.6353,1.0741,3.6165999999999996,3.454,0.46050000000000013,1.2126,0.46050000000000013,0.0,23.817500000000003,8.083999999999998,3.0700000000000007,0.0,3.0700000000000007,31.110666666666667,161.85333333333332,22.182166666666667,141.83723333333333,4.6666,24.278000000000002,0.0,0.0,,inf,,0.0,-3.6165999999999983,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,4.7114,28.9239,0.0,0.0,1.0,1.0
6,Unilateral,US as Home,0.1,0.9966100564027274,0.06760790003568135,0.7668799172556806,0.1,0.018988557664440065,0.7401534307632966,0.018248692728363197,4.626340406345009,28.728131606064174,33.35447201240918,1.0092857331340592,3.628901772328235,3.245575758537417,0.4332721789027437,1.139428246902858,0.4163073546494058,0.01696482425333788,23.898008698598105,8.083999999999998,2.9536117470613448,0.11974960612050263,3.0733613531818476,31.11066666666666,161.85333333333332,22.1855441850227,141.83437618312877,4.6666,24.27694487353791,-0.08353316977997978,-0.19543675982360786,-0.6971114083581678,-12.852219913913734,0.23353316879740493,-0.19576839393582546,-3.609263054499035,0.06558264982908213,-0.2808279875908184,0.01007317848995315,-0.2904501913591217,0.05279208856312723,-0.06685221586140452,0.012280897569632855,0.04597438967374508,-0.04429303872942376,4.626340406345009,28.728131606064174,0.0,0.0,1.0,1.0
12,Unilateral,US as Home,0.2,0.9937269541830032,0.13483471195325136,0.14516986859484884,0.2,0.01904707419354053,0.7401534307632966,0.017598177204697803,4.539994763505897,28.56215628757937,33.102151051085265,0.9517424136924342,3.6394303131018546,3.0605328152813223,0.41006732945737967,1.07446499473368,0.3785779374209103,0.031489392036469346,23.965914411881172,8.083999999999998,2.8483236411710218,0.23450880730083065,3.0828324484718523,31.11066666666666,161.8533333333333,22.195122178427518,141.82632575213222,4.666600000000001,24.274115536542347,-0.16524497261550886,-0.36061028496322495,-0.6785040337357615,-6.764189633546269,0.2266009427315362,-0.36174371242062975,-3.6063205933851457,0.12081205444040677,-0.5331489489147359,0.01994690374317465,-0.564397066361454,0.0963255015642368,-0.12990590343694333,0.02275855509738332,0.17748961877543573,-0.16525388757698528,4.539994763505897,28.56215628757937,0.0,0.0,1.0,1.0
18,Unilateral,US as Home,0.30000000000000004,0.9912713181378036,0.2017645278067704,0.12022428471870676,0.30000000000000004,0.019138552741059574,0.7401534307632966,0.017006214842462314,4.452300036734452,28.42116866604612,32.87346870278057,0.9003082377207134,3.648446125521036,2.8951351392676137,0.3901369572655972,1.0163986305373214,0.3460724883906644,0.04406446887493281,24.02304372256849,8.083999999999998,2.752512559635334,0.34512599668095806,3.097638556316292,31.11066666666666,161.85333333333332,22.21020179079175,141.81374056046445,4.666599999999999,24.269910944642554,-0.24511215676526374,-0.5005404489277485,-0.6598985048117245,-4.734982219895842,0.2192438220439977,-0.5027313339538786,-3.607257646894187,0.1670268053551247,-0.7618312972194303,0.02962663993314585,-0.8236604511932639,0.13201952618716878,-0.189579927704685,0.03170673200560788,0.38618755484977474,-0.3484459765194099,4.452300036734452,28.42116866604612,0.0,0.0,1.0,1.0
24,Unilateral,US as Home,0.4,0.9891801434571492,0.26846601146959537,0.10699020668586455,0.4,0.019259163570466684,0.7401534307632966,0.016464690454057875,4.363189244576498,28.301381203279707,32.66457044785621,0.8540558055954651,3.6561591171453482,2.746400477168547,0.37290392445272136,0.9641821709943773,0.31783960319657684,0.055064321256144556,24.070869380393773,8.083999999999998,2.664865032290781,0.45229478880115087,3.1171598210919313,31.11066666666666,161.8533333333333,22.230226724888663,141.79714748540516,4.666599999999999,24.264624314879356,-0.3231091737237463,-0.6191571208695403,-0.6412896314380249,-3.7205506318786257,0.21152381890340197,-0.6225187967202928,-3.6116484486118487,0.20533242199184443,-0.9707295521437942,0.03911787843332648,-1.0697799837032331,0.16100538839946157,-0.24622866337282842,0.039344329096437404,0.665125494718256,-0.582973188019233,4.363189244576498,28.301381203279707,0.0,0.0,1.0,1.0
30,Unilateral,US as Home,0.5,0.9874029587201447,0.33499596683232435,0.09549338609565938,0.5,0.019405808622624584,0.7401534307632966,0.0159669623823162,4.27259024635883,28.199778677509702,32.47236892386853,0.8122359896437944,3.662739682983912,2.6119198475278522,0.3579168155258737,0.9169698920417698,0.2931384056864103,0.06477840983946338,24.1105878486712,8.083999999999998,2.584306084785818,0.5565887268147033,3.1408948116005213,31.11066666666666,161.8533333333333,22.25474993630193,141.77697274347284,4.666600000000001,24.258474084514457,-0.399208790689513,-0.7195700657157793,-0.6226691653121106,-3.1120866348556304,0.20348957220077885,-0.7241213224902978,-3.6191422592870275,0.23664434718098448,-1.1629310761314713,0.048426040613210763,-1.30406949362533,0.1841913517395121,-0.30015451144365696,0.04584784321103943,1.0084544569209484,-0.8605686157628119,4.27259024635883,28.199778677509702,0.0,0.0,1.0,1.0
36,Unilateral,US as Home,0.6000000000000001,0.9858989327220236,0.40140203078575243,0.08901768300306376,0.6000000000000001,0.019575956938747707,0.7401534307632966,0.015507538936111134,4.18042435773488,28.113935511438548,32.29435986917343,0.7742371892827332,3.6683273304848054,2.4897265168816314,0.34481799677267794,0.8740713301594284,0.27138453711924476,0.07343345965343316,24.143179516101902,8.083999999999998,2.509946868606041,0.658487015120072,3.168433883726113,31.110666666666667,161.85333333333335,22.283409258568877,141.75356453216614,4.6666,24.251624917230398,-0.4733826227107899,-0.804267323104624,-0.6040273312293056,-2.7066451889253442,0.19518011083615955,-0.8099644885614516,-3.629449153738669,0.26172484335938506,-1.3409401308265743,0.05755642213121992,-1.527658679328129,0.2023130998624495,-0.3516174918498137,0.05136089876701904,1.4112139277885412,-1.1749218407451176,4.18042435773488,28.113935511438548,0.0,0.0,1.0,1.0
42,Unilateral,US as Home,0.7000000000000001,0.984634701840664,0.46772469837146136,0.07509622729207308,0.7000000000000001,0.019767522674548666,0.7401534307632966,0.015081836552845493,4.086604918589542,28.041880017745907,32.12848493633545,0.7395552367018258,3.6730373134718612,2.378199224995909,0.33332083199144824,0.8349173075362012,0.25211172095316325,0.08120911103828499,24.169454966414914,8.083999999999998,2.4410455188665527,0.7583939177513971,3.1994394366179493,31.11066666666666,161.85333333333332,22.3159093138994,141.72720981220806,4.6666,24.244202221171214,-0.5456014581820172,-0.8752612197833892,-0.5853538390497849,-2.4172360722163146,0.18662748910560847,-0.8820199822540928,-3.642327726048883,0.2812131118782233,-1.506815063664554,0.0665141669610051,-1.7415256847538432,0.2159721831343745,-0.40084274160933114,0.056001487440718034,1.869196011984263,-1.5211863152942313,4.086604918589542,28.041880017745907,0.0,0.0,1.0,1.0
48,Unilateral,US as Home,0.8,0.9835828979523447,0.5339988276652835,0.06241524923844967,0.8,0.019978773140571948,0.7401534307632966,0.014685997291585338,3.9910361603888846,27.982002369550955,31.97303852993984,0.7077707789100195,3.676965111460515,2.2759894519646275,0.3231931210299882,0.7990343976410849,0.2349439481422332,0.08824917288775504,24.190086463709523,8.083999999999998,2.3769776149673927,0.8566534137446404,3.233631028712033,31.11066666666666,161.85333333333332,22.352007854482466,141.69814695892808,4.666599999999998,24.236302365149143,-0.6158351283419307,-0.9341873458984639,-0.5666362647598123,-2.2003633029628085,0.17785691452580243,-0.941897630449045,-3.6575791386493925,0.295644696200025,-1.6622614700601623,0.075304244851785,-1.946523315814511,0.22566125250616076,-0.44802654898992117,0.059866867269659015,2.3787824921228506,-1.8956652087132935,3.9910361603888846,27.982002369550955,0.0,0.0,1.0,1.0
54,Unilateral,US as Home,0.9,0.9827209672733537,0.6002548903179272,0.05948419004863548,0.9,0.020208258945415954,0.7401534307632966,0.014316748422910433,3.8936118880050836,27.93298163402823,31.826593522033313,0.678532134899773,3.6801901256208835,2.1819662917268556,0.3142449188805937,0.7660255719015591,0.21957505713598946,0.09466986174460419,24.20563382841356,8.083999999999998,2.317213454742797,0.953560616435937,3.270774071178734,31.11066666666666,161.8533333333333,22.391505377541453,141.66657537283135,4.666599999999999,24.227999965639896,-0.6840523378805607,-0.9823821798526373,-0.5478602404773494,-2.0318612469483104,0.16888802944877923,-0.9909183659717691,-3.6750405996848805,0.30546887291503566,-1.8087064779666875,0.08393145067346108,-2.1433999031608475,0.23178491653125508,-0.49334115544187773,0.06303754576796203,2.9368416016807974,-2.2955626010685886,3.8936118880050836,27.93298163402823,0.0,0.0,1.0,1.0
