,regionbase,tax_sce,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Ced_prime,Cedstar_prime,Cey_prime,Cex_prime,Cem_prime,Cex1_prime,Cex2_prime,Ceystar_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Vgx_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,subsidy_ratio,delta_Vg,delta_Vgstar,delta_UCed,delta_UCedstar,leak,leakstar,welfare,welfare_noexternality,Qe1_prime,Qe1star_prime,conv
0,US as Home,Unilateral,0.0,1.0,0.0,0.0,0.0,0.018967789768514702,0.7401534307632966,0.018967789768514702,4.7114,28.9239,33.6353,1.0741,3.6165999999999996,3.454,0.4605,1.2126,0.4605,0.0,23.817500000000003,8.084028334366055,3.0700107603295144,0.0,3.0700107603295144,31.11077570934573,161.85390062818666,22.182258135309194,141.8378182022232,4.6666,24.278000000000002,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,-1.3026616822268503e-14,1.0421293457814802e-13,-0.0,-0.0,0.0,0.0,2.9310203836700534e-13,2.9310203836700534e-13,4.7114,28.9239,1
1,US as Home,Unilateral,0.1,0.9990227600663439,0.04947294694689942,0.0,0.1,0.018972869604920294,0.7401534307632966,0.018429892653775686,4.588467525698332,28.909763750470407,33.49823127616874,1.0639749061897084,3.6173072719475083,3.3587223983591006,0.44796553647703197,1.1791507759844368,0.43627346096290537,0.011692075514126645,23.831110387210952,8.06228382866951,2.9829607382163448,0.07964626401793866,3.0626070022342833,31.02709361278999,161.85448251133639,22.036417548487126,141.81000313675338,4.7579405422697585,24.276933174931646,-0.11975275003515103,-0.014129341713038113,-0.1031325683530443,-0.13957644254901708,0.013009500531196433,-0.014136249529592249,-0.019131564857101324,0.0017831956354932288,-0.13706872383126267,0.007370062150720336,-0.3068343540377292,0.0021335715490806706,-0.010368280377431816,0.0007069262927359432,0.0,0.0,0.0221224951577823,-0.02193578391305649,4.588467525698332,28.909763750470407,1
2,US as Home,Unilateral,0.2,0.9984384994751634,0.09891422788175074,0.0,0.2,0.018987518295732583,0.7401534307632966,0.01791984051737221,4.4630481383846,28.901308835010422,33.36435697339502,1.0543273367379804,3.6177305239685817,3.2691149679992666,0.43649064298172285,1.1476921859281732,0.41397002987716053,0.02252061310456231,23.8390013157793,8.040971579581276,2.9003606418637613,0.15661315059898448,3.056973792462746,30.945075023316832,161.8519226804522,21.895891789147854,141.77472061446312,4.846795376571806,24.278533291198237,-0.23549052689846003,-0.022573524634637243,-0.083379761688845,-0.15603270862394897,-0.005084158421259089,-0.022591164989577805,-0.04227597432394603,-0.0013775172703951455,-0.27094302660498215,0.014632162705056628,-0.6075691821059751,-0.007252475026300923,-0.020717244624093356,0.0011296410358277997,0.0,0.0,0.08777450716781279,-0.08640503058224748,4.4630481383846,28.901308835010422,1
3,US as Home,Unilateral,0.30000000000000004,0.9982233852490098,0.1483513288919922,0.0,0.30000000000000004,0.01901092592902722,0.7401534307632966,0.017435381020662506,4.334935340070476,28.89819526437345,33.23313060444393,1.045115393740773,3.6178864326038944,3.1846276596380116,0.4259584119417826,1.1180311233575717,0.3933784363252929,0.032579975616489676,23.841511583161903,8.020063910954814,2.8218536448661125,0.2311077504023586,3.052961395268471,30.864613431355547,161.84639965837053,21.76030507063328,141.7324415563951,4.933319764159433,24.28271426372748,-0.34718445122003627,-0.025681898536744203,-0.06391519571251686,-0.17224299422598324,-0.022984275766787233,-0.025704735626550956,-0.0692708608766317,-0.009243572292422897,-0.4021693955560721,0.021788407082994676,-0.9025950192973534,-0.02750355599239166,-0.03105072095567185,0.0012852894499192358,0.0,0.0,0.19601848794082488,-0.1917918958117664,4.334935340070476,28.89819526437345,1
4,US as Home,Unilateral,0.4,0.9983585386249203,0.19780984958237724,0.0,0.4,0.019042372450365216,0.7401534307632966,0.01697450790351591,4.203900637505985,28.90015151811021,33.104052155616195,1.0363017997718815,3.617788472597328,3.104778095848361,0.4162676777365022,1.089998239439989,0.3743164503898976,0.041951227346604614,23.838917870222133,7.999534588663754,2.7471213105245416,0.3033148031710152,3.050436113695557,30.785607876841727,161.83805304632912,21.629312452046932,141.68354287676317,5.01765884787198,24.289415078484105,-0.45479573508440985,-0.02372898811357364,-0.044703206122813685,-0.1882274324454575,-0.04070789118988218,-0.02374848188978973,-0.09999541774054777,-0.021625979444035437,-0.531247844383806,0.028840860946103497,-1.192282052514694,-0.058107800144218416,-0.041372863382363234,0.0011874968609117964,0.0,0.0,0.34608475050360116,-0.33695555597672644,4.203900637505985,28.90015151811021,1
5,US as Home,Unilateral,0.5,0.9988295456289771,0.24731401049544477,0.0,0.5,0.01908121474535015,0.7401534307632966,0.016535427726999098,4.0696885466924035,28.90696799142251,32.97665653811491,1.0278532214616638,3.617447208119622,3.029141092973269,0.4073304068438113,1.063444264429469,0.3566261057209005,0.05070430112291081,23.83144034428709,7.979358614982664,2.6758784491056113,0.3733995408255014,3.0492779899311127,30.707962157907062,161.8269870779592,21.5025955825596,141.62831675482613,5.099948871016586,24.298599008410225,-0.5582760384840334,-0.016922098538689947,-0.02570739642511676,-0.20400746525175523,-0.058274382075586495,-0.01693200857749133,-0.1343681831638186,-0.03838204074947882,-0.6586434618850916,0.03579154258775341,-1.4769830219417994,-0.0986830175006427,-0.051688167141545116,0.0008467121942664635,0.0,0.0,0.5373584229594812,-0.5211871241501554,4.0696885466924035,28.90696799142251,1
6,US as Home,Unilateral,0.6000000000000001,0.9996261305725023,0.2968871178778451,0.0,0.6000000000000001,0.019126875695390518,0.7401534307632966,0.016116531830160975,3.9320104955142074,28.918492613571633,32.85050310908584,1.019739693940537,3.6168704879136193,2.9573399511448333,0.3990695626152576,1.0382369498431454,0.3401698127787399,0.05889974983651767,23.819246463628446,7.959512010601264,2.607868763354473,0.44151007763499617,3.049378840989469,30.631583991977458,161.8132729073899,21.379858811262135,141.56697694090968,5.180318387333096,24.31025357360094,-0.6575675322761799,-0.005406375568633243,-0.00689017310207214,-0.21960599055640212,-0.07570555710723097,-0.0054073864283665785,-0.17234609861478845,-0.05941348584267914,-0.7847968909141585,0.04264241682775405,-1.7570362970170152,-0.1489683095880802,-0.0620015057911521,0.0002704373462574239,0.0,0.0,0.7693699280920874,-0.7441832502269042,3.9320104955142074,28.918492613571633,1
7,US as Home,Unilateral,0.7000000000000001,1.0007419818029528,0.3465520083848996,0.0,0.7000000000000001,0.01917883483826767,0.7401534307632966,0.015716372589436877,3.790537216485964,28.93462851401369,32.725165730499654,1.0119341259326564,3.6160635485210113,2.889039153104089,0.3914173435460019,1.0142585052269883,0.3248271757439746,0.06659016780202723,23.8024530541689,7.939971580949649,2.5428611451969987,0.5077794199526863,3.050640565149685,30.556384116493184,161.79694969220057,21.260825564256905,141.4996622782106,5.258889476983778,24.324391319425075,-0.7526026800617485,0.010732493948760812,0.011787836556883664,-0.2350476179745893,-0.09302589365255501,0.010728514013688795,-0.2139248920830994,-0.08466605376408509,-0.9101342695003467,0.049395389785360844,-2.0327691737926834,-0.2088200986155755,-0.07231819158376612,-0.0005366504680833772,0.0,0.0,1.0417887306829354,-1.006035452816477,3.790537216485964,28.93462851401369,1
8,US as Home,Unilateral,0.8,1.0021747304620696,0.3963314967814598,0.0,0.8,0.019236620324456454,0.7401534307632966,0.015333643239084477,3.6448890612733704,28.95533376249716,32.60022282377053,1.0044118680908378,3.6150290232390425,2.823938180206427,0.38431371521688706,0.9914034271332696,0.3104923681558488,0.0738213470610383,23.78112660988406,7.920714659865399,2.4806465107143127,0.572327152767411,3.0529736634817235,30.482275302431038,161.77802444179102,21.145234880198565,141.42643742127333,5.335778996925902,24.341051549315697,-0.843303733072022,0.031467936289952425,0.03036852054999797,-0.25035905118458246,-0.11026293911316067,0.03143376249715857,-0.2591409397436273,-0.11413065166001246,-1.0350771762294713,0.05605230398451799,-2.3045014920205533,-0.2782126834505997,-0.08264406306058592,-0.0015726842442864708,0.0,0.0,1.3544202657843893,-1.3072354535065502,3.6448890612733704,28.95533376249716,1
9,US as Home,Unilateral,0.9,1.0039260961522605,0.44624885262433067,0.0,0.9,0.01929980190437104,0.7401534307632966,0.014967160648129911,3.4946234227341497,28.98062338542257,32.47524680815672,0.9971503289679831,3.6137668465839523,2.761766203270521,0.3777051716826137,0.9695766352304093,0.29707195359965455,0.08063321808295912,23.755281622421233,7.901718819203176,2.421035079767588,0.6352608470522226,3.0562959268198107,30.409171236758652,161.7564704946283,21.03283797741173,141.34729049748654,5.411099909690987,24.360303239139444,-0.9295819124679214,0.05683469979539659,0.048897228007657605,-0.2655696289882043,-0.1274479138989121,0.05672338542257194,-0.3080748957644026,-0.1478463593122008,-1.1600531918432821,0.06261493326085477,-2.5725497328193008,-0.35724382304722246,-0.09298560680842638,-0.0028387106738735346,0.0,0.0,1.707206144838162,-1.6486981965162069,3.4946234227341497,28.98062338542257,1
