,tax_sce,regionbase,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Cec_prime,Cecstar_prime,Cey_prime,Cex_prime,Cem_prime,Cex1_prime,Cex2_prime,Ceystar_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Vgx_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,subsidy_ratio,delta_Vg,delta_Vgstar,delta_UCec,delta_UCecstar,welfare,welfare_noexternality,Qe1_prime,Qe1star_prime,Qe2_prime,Qe2star_prime,region_scenario,conv
0,Unilateral,OECD37 as Home,0.0,1.0,0.0,0.5,0.0,0.057913510706746885,0.7795968539285809,0.057913510706746885,9.30397,24.33133,33.6353,2.5272,2.1636,8.7523,1.0261,2.4744,1.0261,0.0,16.6917,16.496,6.840666666666666,0.0,6.840666666666666,74.84466666666665,118.11866666666666,55.410933333333325,108.6079,11.226700000000001,17.7178,0.0,0.0,,inf,,0.0,-2.163599999999999,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-1.8987130744388826e-14,-1.8987130744388826e-14,9.30397,24.33133,0.0,0.0,3.0,1.0
2,Unilateral,OECD37 as Home,0.1,0.994629998974621,0.03902355735191479,0.0,0.1,0.05793430486565196,0.7795968539285809,0.05666649095074563,8.990030586067446,24.265912425144386,33.25594301121183,2.444919856658268,2.1752812626107074,8.467344120540579,0.9931129494854897,2.393838909985445,0.971317313082639,0.021795636402850697,16.78144796603631,16.496,6.693370355780805,0.14975248921018833,6.843122844990993,74.84466666666665,118.11866666666664,55.413396573909,108.60581224842429,11.226699999999997,17.71701572043149,-0.3034654523563293,-0.06524184982013224,-0.1724433100984591,-5.679118054106199,0.18041628375199154,-0.06541757485561561,-2.1544131239782445,0.06844217813250708,-0.37935698878816737,0.005850698209502347,-0.37159957771451785,0.056339043969267213,-0.08364937629046085,0.011649842121458335,0.02539585649530225,-0.025290051490325857,8.990030586067446,24.265912425144386,0.0,0.0,3.0,1.0
4,Unilateral,OECD37 as Home,0.2,0.9902456262367507,0.07773036865573754,1.2125062594242469e-05,0.2,0.0579944209036352,0.7795968539285809,0.05548877120947596,8.668064983705937,24.21237075237968,32.880435736085616,2.3663453224474487,2.1849124527036494,8.19522165466002,0.9623776319616605,2.3169060089680147,0.9205627797226139,0.04181485223904667,16.85467323167274,16.496,6.55425967023502,0.2959640010078292,6.85022367124285,74.84466666666665,118.11866666666667,55.420545184087004,108.59977654611023,11.2267,17.714812374390277,-0.5934325573250325,-0.11837858721113266,-0.15759024940914815,-2.8589520825481967,0.15971522577167238,-0.11895924762032095,-2.1581207593592424,0.12056331633805328,-0.754864263914385,0.01163738396930536,-0.738326884779223,0.09776874009875389,-0.16620197415215823,0.021208168258652474,0.10120113196372114,-0.10051377907364113,8.668064983705937,24.21237075237968,0.0,0.0,3.0,1.0
6,Unilateral,OECD37 as Home,0.30000000000000004,0.9867922400485258,0.11622241222390528,6.804203384166108e-06,0.30000000000000004,0.05809076460267035,0.7795968539285809,0.05437446235907991,8.33738844838294,24.170114724461502,32.507503172844444,2.2911753663412013,2.1925587901801946,7.934890059681899,0.9336471689570732,2.243306555268546,0.8734207176676371,0.06022645128943621,16.911928138087244,16.496,6.422638994571373,0.43896466594324346,6.861603660514615,74.84466666666665,118.11866666666664,55.43205020866984,108.59010355522922,11.2267,17.711386294886587,-0.8696416380871963,-0.1601494496062594,-0.1429470908737205,-1.9280647491520964,0.13897369938503382,-0.16121527553849901,-2.1744653066442083,0.15673409722451126,-1.1277968271555565,0.017360005362253572,-1.1007445266047342,0.12484808394935355,-0.2477844395624272,0.02876670224867581,0.22699750412664468,-0.22505748284192173,8.33738844838294,24.170114724461502,0.0,0.0,3.0,1.0
8,Unilateral,OECD37 as Home,0.4,0.9842279703314047,0.15459616727611614,5.165230653677324e-06,0.4,0.05822060275088541,0.7795968539285809,0.0533183265876487,7.997216238052904,24.138690171524363,32.13590640957727,2.219131046264285,2.19827119856336,7.685383292267688,0.9067022115037404,2.1727674346614223,0.8295253109046882,0.07717690059905234,16.953652515038605,16.496,6.2978896454309465,0.5790503240332996,6.876939969464247,74.84466666666665,118.11866666666664,55.447621396467945,108.57706769262202,11.226700000000001,17.706902115628075,-1.1318112032198997,-0.19111865534064934,-0.12847849270939316,-1.4694474248611296,0.11819840116546239,-0.1926398284756381,-2.20328005029997,0.17722592510570934,-1.4993935904227342,0.02301868639233151,-1.4594291451588952,0.13798709157449807,-0.32852657821493086,0.03439633208290619,0.4025126340641929,-0.39882360388074234,7.997216238052904,24.138690171524363,0.0,0.0,3.0,1.0
10,Unilateral,OECD37 as Home,0.5,0.9825226194399641,0.1929446219239923,3.997712555285078e-06,0.5,0.058381511793060344,0.7795968539285809,0.05231569815131006,7.646636391349778,24.117768807312384,31.76440519866216,2.1499536212303783,2.2020867074116297,7.445805270297025,0.8813469286083065,2.10503531195491,0.7885537454693095,0.09279318313899708,16.98017706692842,16.496,6.179460511368542,0.7164858196120224,6.895946330980564,74.84466666666667,118.11866666666667,55.46700172157112,108.56091228533319,11.226700000000001,17.701498528422096,-1.3796392655692777,-0.21169220546399384,-0.11414922556570464,-1.1996867058007106,0.09739227604783632,-0.2135611926876173,-2.2444876211166687,0.18221070294835684,-1.8708948013378404,0.028613653874000167,-1.8149723155325987,0.1374547200433461,-0.4085615573422275,0.03814840734105579,0.6276565499756405,-0.6221952328308656,7.646636391349778,24.117768807312384,0.0,0.0,3.0,1.0
12,Unilateral,OECD37 as Home,0.6000000000000001,0.9816577725987128,0.23135905570470594,3.1337626356953324e-06,0.6000000000000001,0.05857133377038893,0.7795968539285809,0.05136241226003025,7.284579806753639,24.107151866906804,31.391731673660445,2.083400581590984,2.2040267600310113,7.215316124667127,0.857404706562453,2.039872744178826,0.7502195470894343,0.10718515947301874,16.99171064307516,16.495999999999995,6.066859652938426,0.85150819690822,6.918367849846646,74.84466666666665,118.11866666666664,55.48996266075194,108.541853994297,11.226699999999997,17.695292915367688,-1.612799956982082,-0.2221189982111231,-0.09992035030149939,-1.0243131826056107,0.07654864246939291,-0.22417813309319712,-2.298116612746014,0.1717421096686209,-2.243568326339556,0.03414518975648895,-2.1679938387657662,0.1233680630706646,-0.4880288980135598,0.040053713752054715,0.9025034106077942,-0.8960763089051533,7.284579806753639,24.107151866906804,0.0,0.0,3.0,1.0
14,Unilateral,OECD37 as Home,0.7000000000000001,0.9816272834382591,0.2699311271600213,2.6017186779810614e-06,0.7000000000000001,0.05878813610483749,0.7795968539285809,0.05045475265661412,6.909777363045138,24.10677749380598,31.016554856851116,2.0192425638939393,2.204095216691359,6.99312151470755,0.8347146120240412,1.9770551598999535,0.7142672798640084,0.12044733216003271,16.988325246738704,16.496,5.959648110795717,0.9843281417262074,6.943976252521924,74.84466666666665,118.11866666666664,55.51629982854594,108.52008685202301,11.226699999999997,17.688385166206704,-1.8309414091819975,-0.22248649876822565,-0.08574813275797115,-0.9028444786033615,0.05565072868407026,-0.22455250619402278,-2.3643195933613406,0.14573507545410536,-2.6187451431488853,0.03961353735918838,-2.5191535747287435,0.09567779085872927,-0.5670771387900703,0.04012091372116774,1.2272940650145,-1.221940705938968,6.909777363045138,24.10677749380598,0.0,0.0,3.0,1.0
16,Unilateral,OECD37 as Home,0.8,0.9824379868043609,0.3087550434114579,2.2212790032499056e-06,0.8,0.059030179297592404,0.7795968539285809,0.049589391160187166,6.520702702753095,24.11673005550365,30.637432758256743,1.9572596333494798,2.2022764073259022,6.778459753468128,0.8131279955426,1.916367219357373,0.6804675157475157,0.13266047979508427,16.96994142446683,16.496,5.857432764653094,1.1151333070727893,6.9725660717258835,74.84466666666665,118.11866666666666,55.54582947689121,108.49578550569963,11.226700000000001,17.680860698637467,-2.0336820899941603,-0.21271275865559147,-0.0715842054338481,-0.815043215441044,0.034673259004920444,-0.2145999444963529,-2.4433913561757983,0.10394582733533042,-2.9978672417432577,0.04501890718406254,-2.8691697933217752,0.054151704846447976,-0.645867966693934,0.03833478377010219,1.6024598342179903,-1.601901812652336,6.520702702753095,24.11673005550365,0.0,0.0,3.0,1.0
18,Unilateral,OECD37 as Home,0.9,0.9841117646832502,0.3479303387882755,2.0936594635539633e-06,0.9,0.059295883907575696,0.7795968539285809,0.048763354382186375,6.115491083439594,24.137265128230013,30.252756211669606,1.897237327118784,2.1985307742930846,6.570588104677798,0.792505177095836,1.8575989404173467,0.6486126512225299,0.14389252587330614,16.936295232144616,16.496,5.759862401818011,1.2440883441662836,7.0039507459842945,74.84466666666665,118.11866666666666,55.5783848242946,108.46910853258001,11.2267,17.672793075936966,-2.2206067895164656,-0.1925211400100284,-0.05737246401347491,-0.7496742056042077,0.013578888081804035,-0.19406487176998866,-2.535805827438036,0.045931183533539865,-3.382543788330395,0.050361366947590525,-3.2188428672409355,-0.0016625667777063248,-0.7245815505973515,0.03465179869384399,2.0286310263395326,-2.038845715932046,6.115491083439594,24.137265128230013,0.0,0.0,3.0,1.0
