,tax_sce,regionbase,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Cec_prime,Cecstar_prime,Cey_prime,Cex_prime,Cem_prime,Cex1_prime,Cex2_prime,Ceystar_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Vgx_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,subsidy_ratio,delta_Vg,delta_Vgstar,delta_UCec,delta_UCecstar,welfare,welfare_noexternality,Qe1_prime,Qe1star_prime,Qe2_prime,Qe2star_prime,region_scenario,conv
0,Unilateral,OECD37 as Home,0.0,1.0,0.0,0.5,0.0,0.057913510706746885,0.7795968539285809,0.057913510706746885,9.30397,24.33133,33.6353,2.5272,2.1636,8.7523,1.0261,2.4744,1.0261,0.0,16.6917,16.496,6.840666666666666,0.0,6.840666666666666,74.84466666666665,118.11866666666666,55.410933333333325,108.6079,11.226700000000001,17.7178,0.0,0.0,,inf,,0.0,-2.163599999999999,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-1.8987130744388826e-14,-1.8987130744388826e-14,9.30397,24.33133,0.0,0.0,3.0,1.0
2,Unilateral,OECD37 as Home,0.1,0.990000364320008,0.07146074658550336,0.670041674922194,0.1,0.057982236230688995,0.7795968539285809,0.055673685166269624,9.122926223892797,23.847154084496108,32.9700803083889,2.3808691368418335,2.185453741207551,8.245521108887614,0.9680431048517399,2.331126381846088,0.9292994425137979,0.03874366233794199,16.859066861430836,16.496,6.576101460259546,0.27268297366113436,6.848784433920681,74.84466666666665,118.11866666666668,55.41909395622694,108.6009998978341,11.226700000000001,17.715253793780487,-0.17754373796701128,-0.481759178902325,-0.727843630622637,-3.2162408655423174,0.19717351898057187,-0.4841759155038936,-2.139506756723076,0.1311637074901313,-0.6652196916110995,0.010711405453141976,-0.6696318564834222,0.10793939788936309,-0.15073829600015287,0.02174411044796465,0.04526404173506852,-0.0436159975833999,9.122926223892797,23.847154084496108,0.0,0.0,3.0,1.0
4,Unilateral,OECD37 as Home,0.2,0.9813614068075335,0.14184375486587036,0.032254319920623276,0.2,0.05817570146696712,0.7795968539285809,0.05364919426418145,8.939586136909538,23.43277911144511,32.37236524835465,2.2499896601568845,2.2046923640887885,7.792254076682139,0.9184633437605947,2.2029813291754494,0.8462796705080545,0.07218367325254012,17.00398491401167,16.496000000000002,6.336971294226093,0.5346649954501086,6.871636289676202,74.84466666666668,118.11866666666667,55.442229021611716,108.58157582044191,11.226700000000003,17.708438521814134,-0.3502993117270365,-0.8902032838546948,-0.7114784729648596,-1.6807944781370348,0.19457903232206192,-0.8985508885548903,-2.1227337568128775,0.2457406218610565,-1.2629347516453535,0.021220583965203876,-1.3043892931402146,0.19998796769473898,-0.29362614317866903,0.04070701050778108,0.17475871681899613,-0.1627228454331403,8.939586136909538,23.43277911144511,0.0,0.0,3.0,1.0
6,Unilateral,OECD37 as Home,0.30000000000000004,0.9738844393075117,0.21134695127103018,0.027586526345248392,0.30000000000000004,0.05847770191599198,0.7795968539285809,0.051809259405939584,8.75380196295209,23.0770718640772,31.830873827029293,2.1322417766818007,2.2216188211595673,7.384464902679695,0.875816721603221,2.0876935154405856,0.7744867898378783,0.10132993176534268,17.129038209969238,16.496,6.119640642017042,0.7876675380307077,6.90730818004775,74.84466666666665,118.11866666666664,55.47862460003007,108.55125471362605,11.2267,17.69833351307775,-0.5182764158578932,-1.2379525378626808,-0.6951008330021389,-1.1709918123785041,0.19123739053502908,-1.2542581359228002,-2.1129682745901768,0.3450737527320271,-1.8044261729707074,0.031525931407483054,-1.9078436960585918,0.27813923447785033,-0.4294674827580025,0.05725454162354501,0.38024542729446154,-0.3430230111930892,8.75380196295209,23.0770718640772,0.0,0.0,3.0,1.0
8,Unilateral,OECD37 as Home,0.4,0.9674073881319519,0.28014008356033526,0.024139953459346532,0.4,0.05887517584506887,0.7795968539285809,0.05012857187788096,8.565452656649866,22.771133455199532,31.3365861118494,2.025734529005915,2.236493153290753,7.015604747633138,0.8388982890054661,1.9834114904131988,0.7119312310352793,0.1269670579701869,17.236442075980776,16.496,5.921120072119461,1.0331371984656057,6.9542572705850665,74.84466666666665,118.11866666666664,55.526904180427124,108.51134798666934,11.226700000000001,17.685658290159896,-0.6814474048644305,-1.5349115062008751,-0.6787258531141968,-0.9178377720175829,0.18724971406654473,-1.560196544800469,-2.109846433606023,0.4304335182769954,-2.2987138881506013,0.041628522852452554,-2.483117075323371,0.34407368720532966,-0.5589650986271316,0.07169214417874306,0.6548352899729688,-0.5736898624675176,8.565452656649866,22.771133455199532,0.0,0.0,3.0,1.0
10,Unilateral,OECD37 as Home,0.5,0.9617971756919208,0.34836907611709456,0.022423208340580807,0.5,0.05935752538792677,0.7795968539285809,0.04858618871230451,8.374432016191506,22.507789449984227,30.882221466175732,1.928915585179028,2.2495387329906613,6.680297513517887,0.8067575843355568,1.8886153545295135,0.657046697715892,0.1497108866196649,17.328097501109962,16.495999999999995,5.738935829112458,1.2722959263422784,7.0112317554547365,74.84466666666665,118.11866666666668,55.58595693309625,108.46291967453016,11.226699999999997,17.67094711896979,-0.8397627488357118,-1.7889344506245075,-0.6623641598348144,-0.7674997710382778,0.18270231388476896,-1.8235405500157746,-2.112987144360524,0.5029938184361811,-2.7530785338242687,0.051531209637273756,-3.032937894543953,0.39921145073240283,-0.6827331849155553,0.08427586918091014,0.9927353085052586,-0.8464595576336793,8.374432016191506,22.507789449984227,0.0,0.0,3.0,1.0
12,Unilateral,OECD37 as Home,0.6000000000000001,0.9569441438545605,0.4161601132231692,0.020743966685056875,0.6000000000000001,0.059916092508539694,0.7795968539285809,0.047164671571398725,8.180640956260293,22.281223095137523,30.461864051397818,1.8405011836251692,2.260947009179703,6.374097225958598,0.778637000862561,1.8020481674430673,0.6085875978438468,0.1700494030187143,17.405633090622327,16.496,5.571028119784855,1.5061808392005105,7.077208958985366,74.84466666666665,118.11866666666664,55.654882065167754,108.40683905152908,11.226700000000001,17.65460065450464,-0.9931605657608057,-2.0062960274607753,-0.6460212016459627,-0.6686817620722101,0.1776677108964297,-2.050106904862478,-2.1220187419346033,0.5638171006645898,-3.173435948602183,0.06123794972863694,-3.5596952772054835,0.4447505051028402,-0.801309548180116,0.09522058795759519,1.3890056472884396,-1.155012054923221,8.180640956260293,22.281223095137523,0.0,0.0,3.0,1.0
14,Unilateral,OECD37 as Home,0.7000000000000001,0.9527571583378911,0.48362302148273384,0.0196612766874691,0.7000000000000001,0.06054375462224176,0.7795968539285809,0.045849407523907204,7.983978378802116,22.086672415700065,30.070650794502182,1.7594227508816926,2.2708829643163795,6.093303158650617,0.7539269279061662,1.722663681062702,0.5655540458757621,0.1883728820304042,17.470451645193446,16.496,5.415670884180553,1.7356766867924869,7.15134757097304,74.84466666666665,118.11866666666663,55.732945691661115,108.34382123133956,11.226700000000001,17.636922108772332,-1.1415754724366005,-2.1920631680518134,-0.6296994332115382,-0.599381468013335,0.17220811979737685,-2.2446575842999366,-2.136584673743851,0.6138615374159926,-3.564649205497819,0.07075335271989014,-4.065482183800207,0.4817088210074176,-0.9151653268458133,0.10470791078542606,1.8394479889232984,-1.4944628359608707,7.983978378802116,22.086672415700065,0.0,0.0,3.0,1.0
16,Unilateral,OECD37 as Home,0.8,0.9491602483748496,0.5508539251389688,0.01654273638347832,0.8,0.06123461403634271,0.7795968539285809,0.04462806961328448,7.784338581619795,21.92022116260704,29.704559744226835,1.6847840829687029,2.2794886360912314,5.834811542168002,0.7321320187254866,1.6495844155182644,0.5271358277365661,0.20499619098892052,17.52376101285914,16.496,5.271408078628344,1.9615428851924037,7.232950963820747,74.84466666666665,118.11866666666663,55.819547618904274,108.27445834741899,11.2267,17.618142802776077,-1.2849408929415476,-2.3503516245788485,-0.6133981592530091,-0.548587398634521,0.16637621036275294,-2.4111088373929626,-2.156354571622593,0.6539816676758576,-3.9307402557731663,0.08008240206628314,-4.552141193169549,0.5109501970576791,-1.024715296870681,0.11289152974462308,2.3404437536111073,-1.8610476079891844,7.784338581619795,21.92022116260704,0.0,0.0,3.0,1.0
18,Unilateral,OECD37 as Home,0.9,0.9460897776694681,0.6179375907647114,0.014129551093514372,0.9,0.061983756465781706,0.7795968539285809,0.04349019362762414,7.581607520707178,21.778629618305104,29.36023713901228,1.615828479107499,2.286886563059229,5.596001740144255,0.7128461838709137,1.5820694795439993,0.4926707532339387,0.22017543063697492,17.56660371136247,16.495999999999995,5.137003684370126,2.18443498435938,7.321438668729507,74.84466666666665,118.11866666666664,55.91419542261063,108.19924379824654,11.2267,17.598440476565706,-1.423191646900139,-2.484527430981355,-0.5971141161431053,-0.5101742079623179,0.1602166986930251,-2.5527003816948977,-2.181026809093531,0.6849364582926114,-4.27506286098772,0.0892302552144354,-5.021300491252836,0.5332092457835657,-1.1303259730369728,0.11990197811717702,2.8888558412412126,-2.2518665993098153,7.581607520707178,21.778629618305104,0.0,0.0,3.0,1.0
