,tax_sce,regionbase,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Cec_prime,Cecstar_prime,Cey_prime,Cex_prime,Cem_prime,Cex1_prime,Cex2_prime,Ceystar_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Vgx_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,subsidy_ratio,delta_Vg,delta_Vgstar,delta_UCec,delta_UCecstar,welfare,welfare_noexternality,Qe1_prime,Qe1star_prime,Qe2_prime,Qe2star_prime,region_scenario,conv
0,global,US as Home,0.0,1.0,0.0,1.0,0.0,0.018967789768514702,0.7401534307632966,0.018967789740121133,4.7114,28.9239,33.6353,1.0741,3.6165999999999996,3.454,0.4605,1.2126,0.460499999310661,6.893389291585955e-10,23.817500000000003,8.083999999999998,3.069999995404406,4.5955842005914375e-09,3.07,31.110666666666667,161.85333333333332,22.182166666666667,141.83723333333333,4.6666,24.278000000000002,0.0,0.0,,inf,,0.0,-3.6165999999999983,0.0,0.0,3.814696336590373e-10,-0.0,-1.171106141674596e-09,-0.0,-0.0,-6.069039518638688e-10,-6.069039518638688e-10,4.7114,28.9239,0.0,0.0,1.0,1.0
1,global,US as Home,0.1,1.0344690980516345,0.0,1.0,0.1,0.018967789768514702,0.7401534307632966,0.018966369427129204,4.554413412077542,27.960138831258146,32.514552243335686,1.0383103777802625,3.4960928333303203,3.338910757706942,0.445155878379863,1.1721954790953784,0.44512254432646103,3.333373534937468e-05,23.02388736875654,8.083999999999998,3.069770113012286,0.00022988698771529757,3.07,31.11066666666666,161.8533333333333,22.182166666666664,141.83723333333333,4.666599999999999,24.278,-0.15181380222054394,-0.932004761651906,-0.8599269220134774,-3.971114040321139,-0.8293248092680933,-0.9637611687418541,-4.45061715214808,-0.9294639195332763,-1.120747756664315,1.9082908092715734e-05,-0.15814335717835626,-0.8227998561064042,-0.03639947283788415,-0.12256059348802888,0.029015806019885394,-0.029064859630925886,4.554413412077542,27.960138831258146,0.0,0.0,1.0,1.0
2,global,US as Home,0.2,1.0713076886210398,0.0,1.0,0.2,0.018967789768514702,0.7401534307632966,0.018966810006503545,4.39780279329333,26.99868578616482,31.39648857945815,1.0026064513571769,3.375874212809203,3.2240970887139833,0.42984849720694535,1.1318877040459105,0.429826293817238,2.220324357186776e-05,22.232174988548145,8.083999999999998,3.0698414222526207,0.0001585777473662494,3.07,31.110666666666667,161.85333333333332,22.182166666666667,141.83723333333333,4.666600000000001,24.278000000000006,-0.29318687105481206,-1.799912497283669,-0.8599269220134796,-2.3595722529088254,-0.829325008975672,-1.9252142138351793,-5.282637307405942,-1.856702301435707,-2.2388114205418503,1.3163420419237681e-05,-0.3214356001153052,-1.6723100504033634,-0.07398405221871443,-0.24911155688874645,0.1160943973076438,-0.1159500690738419,4.39780279329333,26.99868578616482,0.0,0.0,1.0,1.0
3,global,US as Home,0.30000000000000004,1.1106592273238278,0.0,1.0,0.30000000000000004,0.018967789768514702,0.7401534307632966,0.018966890048593924,4.24198513996178,26.042100859562023,30.284085999523803,0.9670833083411926,3.2562643077430002,3.109864767722259,0.4146186234904749,1.0917840235495109,0.4145989564317594,1.9666939848387993e-05,21.44447136804427,8.083999999999998,3.0698543773317555,0.00014562266822801967,3.07,31.110666666666667,161.85333333333332,22.182166666666667,141.83723333333333,4.6666,24.277999999999995,-0.4241985347064748,-2.6042102130994196,-0.8599269220134799,-1.8233525544885951,-0.8293250446934556,-2.881799140437977,-6.110444608406219,-2.7792457007222566,-3.3512140004761974,1.208801045904373e-05,-0.4897771115400675,-2.548103949198904,-0.11273080947696039,-0.37957568713748707,0.26097375188912647,-0.2600375248997353,4.24198513996178,26.042100859562023,0.0,0.0,1.0,1.0
4,global,US as Home,0.4,1.1526590239187096,0.0,1.0,0.4,0.018967789768514702,0.7401534307632966,0.018966988056319287,4.087418573492831,25.093196518624886,29.18061509211772,0.931845392012261,3.1376147888944628,2.996549654604179,0.39951103530550797,1.0520023483419303,0.3994941491594089,1.6886055157311943e-05,20.663092472071522,8.083999999999998,3.0698702402087976,0.00012975979120084674,3.07,31.11066666666666,161.8533333333333,22.18216666666666,141.83723333333327,4.6666,24.277999999999995,-0.544989175375894,-3.3457597337638108,-0.8599269220134801,-1.5560259194363024,-0.8293250319885774,-3.8307034813751137,-6.931605179586548,-3.6943817037285065,-4.454684907882282,1.0771226696237868e-05,-0.6629907129340764,-3.4492441691495555,-0.1525989638628742,-0.513815671451886,0.46328504534228615,-0.4601379574732196,4.087418573492831,25.093196518624886,0.0,0.0,1.0,1.0
5,global,US as Home,0.5,1.1974293257113975,0.0,1.0,0.5,0.018967789768514702,0.7401534307632966,0.018967076655183945,3.9345954009812973,24.154995100913304,28.0895905018946,0.8970049229100624,3.0203035138222987,2.884512618686673,0.38457384507967945,1.0126693692586737,0.38455938663518313,1.445837523442602e-05,19.890526721357798,8.083999999999998,3.0698845802303727,0.00011541976962134106,3.07,31.110666666666667,161.85333333333332,22.182166666666667,141.83723333333333,4.6666,24.278000000000002,-0.6557659275154827,-4.025832684735974,-0.8599269220134798,-1.3963053621955799,-0.829325070365021,-4.768904899086696,-7.743503909383527,-4.599195919740225,-5.545709498105399,9.580860024671622e-06,-0.840814129906985,-4.374367356059259,-0.19352814831635248,-0.6516282480224562,0.7224743884865074,-0.7145059545063304,3.9345954009812973,24.154995100913304,0.0,0.0,1.0,1.0
6,global,US as Home,0.6000000000000001,1.2450741091639843,0.0,1.0,0.6000000000000001,0.018967789768514702,0.7401534307632966,0.01896719798707824,3.7840318506589834,23.23066579897172,27.014697649630705,0.8626795723197663,2.904726693279645,2.7741320573433312,0.3698575021443556,0.9739179307280033,0.3698459628555625,1.1539242920564997e-05,19.12938340352484,8.083999999999998,3.0699042182019034,9.578179808771589e-05,3.07,31.11066666666666,161.8533333333333,22.18216666666666,141.8372333333333,4.666599999999999,24.278,-0.7568063416293378,-4.6461329848140265,-0.8599269220134798,-1.2904261898874814,-0.8293252049407395,-5.693234201028279,-8.543398665747155,-5.490632401051158,-6.620602350369296,7.95071652825996e-06,-1.0228956370271995,-5.321641919183237,-0.2354374070481532,-0.7927408307702735,1.0378023582824338,-1.0207999769829927,3.7840318506589834,23.23066579897172,0.0,0.0,1.0,1.0
7,global,US as Home,0.7000000000000001,1.2956738960512673,0.0,1.0,0.7000000000000001,0.018967789768514702,0.7401534307632966,0.018967272549048172,3.636254417976399,22.32344083714131,25.95969525511771,0.8289894573576406,2.7912887733727234,2.66579423304468,0.35541350443459035,0.9358836383873707,0.3554038129109387,9.691489978907009e-06,18.38232604097906,8.084,3.069916286305277,8.371369471438536e-05,3.07,31.11066666666667,161.85333333333335,22.18216666666667,141.83723333333336,4.6666,24.278000000000006,-0.8484593879367887,-5.208803007756692,-0.8599269220134798,-1.2153427163968205,-0.8293251011209077,-6.600459162858691,-9.32849032063357,-6.365571681213627,-7.675604744882293,6.94894980002303e-06,-1.2087937979055252,-6.28877456358037,-0.2782251357155796,-0.9368113079126386,1.4083357061404933,-1.3760817610645837,3.636254417976399,22.32344083714131,0.0,0.0,1.0,1.0
8,global,US as Home,0.8,1.3492814100850232,0.0,1.0,0.8,0.018967789768514702,0.7401534307632966,0.018967319286707772,3.4917844620329777,21.436520907033074,24.928305369066052,0.7960533599379518,2.680389704451723,2.5598811146314913,0.3412927774429073,0.8987005905043851,0.3412843119313963,8.465484755821568e-06,17.651988548852216,8.083999999999998,3.0699238509512754,7.61490487108496e-05,3.07,31.11066666666666,161.85333333333332,22.18216666666666,141.83723333333333,4.6666,24.278000000000002,-0.9311425689938507,-5.7164058562892635,-0.8599269220134799,-1.1595287798587348,-0.8293250743027745,-7.4873790929669255,-10.096010860643396,-7.220928969253155,-8.706994630933949,6.3210140879288446e-06,-1.3979834507619326,-7.27303235214705,-0.32177045910585633,-1.083432680758067,1.8329456205599872,-1.7768446536606746,3.4917844620329777,21.436520907033074,0.0,0.0,1.0,1.0
9,global,US as Home,0.9,1.4059179139915972,0.0,1.0,0.9,0.018967789768514702,0.7401534307632966,0.018967377856359588,3.351120205667028,20.572964663728943,23.92408486939597,0.7639848595075371,2.5724119196489696,2.4567579412894824,0.3275440162026076,0.8624970120462149,0.32753690312495043,7.113057974889964e-06,16.940889480793935,8.083999999999998,3.069933330644654,6.66693553356268e-05,3.07,31.11066666666666,161.8533333333333,22.182166666666667,141.83723333333333,4.6666,24.278,-1.0053360853379485,-6.171889544234471,-0.8599269220134796,-1.1165763873346919,-0.8293251127733535,-8.350935336271057,-10.843313507159849,-8.053754583354486,-9.711215130604032,5.534113284078046e-06,-1.589865862790407,-8.271298740077924,-0.3659355683416576,-1.232140933306432,2.310315987748816,-2.219074788532577,3.351120205667028,20.572964663728943,0.0,0.0,1.0,1.0
