,tax_sce,regionbase,varphi,pe,tb,prop,te,jxbar_prime,jmbar_prime,j0_prime,Qe_prime,Qestar_prime,Qeworld_prime,Cey_prime,Cex_prime,Cem_prime,Ceystar_prime,Ge_prime,Ce_prime,Gestar_prime,Cestar_prime,Vgx_prime,Vgm_prime,Vgx1_prime,Vgx2_prime,Cex1_prime,Cex2_prime,Vg_prime,Vgstar_prime,Lg_prime,Lgstar_prime,Ve_prime,Vestar_prime,delta_Le,delta_Lestar,leakage1,leakage2,leakage3,chg_extraction,chg_production,chg_consumption,chg_Qeworld,pai_g,subsidy_ratio,welfare,welfare_noexternality,region_scenario,conv
0,Unilateral,US as Home,0.0,0.9999999802031111,0.0,0.7707552517171259,0.0,0.01592056634318261,0.7935787495405133,0.01592056634318261,4.480039955654572,27.79593972486343,32.275979680518006,4.598400065241046,0.42160000598156433,1.1961100169701346,26.059870369731467,5.0200000712226105,5.794510082211181,27.2559803867016,26.48147037571303,2.810666666666668,7.97406666666667,2.810666666666668,0.0,0.42160000598156433,0.0,38.630066666666686,176.54313333333343,28.44666669482446,154.45055348621545,5.794509967497908,26.481469851462304,-4.4345426838448e-08,-2.751365665654526e-07,-0.8611958701328666,1.21040187337646,1.1760069085994596,-2.751365713038467e-07,3.8670160051879066e-07,3.757130286885513e-07,-3.194819910845581e-07,5.5642457308380244e-08,0.0,2.0124381332852686e-06,2.0124381332852686e-06,1.0,1.0
6,Unilateral,US as Home,0.1,0.9986477154014373,0.04262503210238089,0.0,0.1,0.015925279219421648,0.7935787495405133,0.015530266415596712,4.346499520279718,27.777139631205237,32.12363915148495,4.4669778918060965,0.40970454017088137,1.1619252188083224,26.0850296790338,4.8766824319769775,5.628903110614419,27.24695489784212,26.49473421920468,2.8114986926049177,7.97406666666667,2.7417618945108804,0.06973679809403732,0.3995103655850893,0.010194174585792064,38.630066666666686,176.54313333333343,28.38976597383287,154.44606493715716,5.861223456398445,26.47593494381141,-0.12959947223469648,-0.018787655636723837,-0.12340989943289865,-0.05924282453363263,0.08706935358423447,-0.01880036879476421,-0.009025102157881548,0.013264219204678795,-0.15234084851504548,-0.11600396010588865,0.006359260654381416,0.01977206680242006,-0.01966375654978196,1.0,1.0
12,Unilateral,US as Home,0.2,0.9977128657173002,0.08519390319292777,1.7233104642593407e-05,0.2,0.015938908170287012,0.7935787495405133,0.015160278143310484,4.209585306171437,27.764135280526975,31.973720586698413,4.343070148413347,0.39877446654645543,1.1296950320151986,26.102181612700463,4.741844614959803,5.472765180428546,27.231876644715662,26.50095607924692,2.813904790294738,7.97406666666667,2.676443005624883,0.13746178466985534,0.37917470386414154,0.01959976268231384,38.630066666666686,176.54313333333346,28.335814282625698,154.43745839445108,5.926494458542278,26.472648207087957,-0.25445621295873433,-0.03176834170087818,-0.10522325549971383,-0.07974393591603224,0.0644680641508246,-0.03180471947302621,-0.024103355284339045,0.019486079246917143,-0.30225941330158435,-0.23302329181701253,0.012638301398100515,0.07866486738325222,-0.0778243335853806,1.0,1.0
18,Unilateral,US as Home,0.30000000000000004,0.9971742083750035,0.12774211419268966,1.1314271672772966e-05,0.30000000000000004,0.015960754660071217,0.7935787495405133,0.014808922078148257,4.068992024234931,27.756639449336387,31.825631473571317,4.225981364267956,0.38870476262714226,1.0992385546308598,26.111705609127018,4.614686126895099,5.325219918898816,27.210944163757876,26.50041037175416,2.817761638053578,7.97406666666667,2.6144135049654724,0.2033481330881052,0.3604013162341647,0.02830344639297752,38.630066666666686,176.5431333333335,28.284595881767068,154.4249676058345,5.99042677658986,26.471564158032326,-0.37448736227854923,-0.03924500998586706,-0.08726696848610407,-0.10000218408454581,0.04205714161953243,-0.03930055066361504,-0.045035836242124816,0.018940371754158747,-0.4503485264286802,-0.35109812736840196,0.01883851063072617,0.17610495805897014,-0.17363442783026983,1.0,1.0
24,Unilateral,US as Home,0.4,0.9970154544346777,0.17030322796226494,7.565269852620141e-06,0.4,0.015990197932754018,0.7935787495405133,0.014474704171988702,3.924368476539398,27.754429879914273,31.678798356453672,4.11509434586373,0.3794039991873915,1.0703952457444037,26.11390371484885,4.494498345051121,5.185489591608134,27.184298960593253,26.49330771403624,2.8229596456685853,7.97406666666667,2.555409628595959,0.26755001707262654,0.3430242599817641,0.03637973920562742,38.630066666666686,176.5431333333335,28.235913944452854,154.40878240452952,6.053118890120586,26.472655369556193,-0.4895995806369461,-0.04144816023395959,-0.06951004026048668,-0.12003222165549957,0.01982263548146304,-0.04151012008572863,-0.07168103940674797,0.011837714036239788,-0.5971816435463246,-0.47027705007813037,0.02496124861259985,0.311711239752763,-0.306648183438835,1.0,1.0
30,Unilateral,US as Home,0.5,0.9972256718918098,0.21290969819206557,6.203362955858937e-06,0.5,0.01602668389259197,0.7935787495405133,0.014156290779621265,3.77530847082515,27.75735569121211,31.532664162037257,4.009856685667614,0.37079194601556953,1.0430214162086575,26.108990536989257,4.380648631683184,5.052878101876272,27.152011953197913,26.479782483004826,2.8294009913410623,7.97406666666667,2.4991959306121156,0.3302050607289471,0.326899057644777,0.04389288837079255,38.630066666666686,176.54313333333343,28.18958658099456,154.3890463430042,6.114666160481096,26.475918835136913,-0.5996867281277618,-0.038530773630351824,-0.05190836360172822,-0.13987061958351435,-0.002270255669247003,-0.03858430878789321,-0.1039680468020876,-0.0016875169951759972,-0.74331583796274,-0.5906202847595163,0.03100783866363943,0.48521692151065365,-0.4768780243468128,1.0,1.0
36,Unilateral,US as Home,0.6000000000000001,0.9977985798708882,0.2555932516825096,5.448848572334473e-06,0.6000000000000001,0.016069715852478718,0.7935787495405133,0.013852486248873955,3.6213353102191213,27.765327872267314,31.386663182486433,3.90977236985548,0.3627978731103266,1.0169880456915097,26.097105254649023,4.272570242965807,4.9267604155469895,27.11409330034053,26.45990312775935,2.8369979883729424,7.97406666666667,2.4455613268331224,0.3914366615398197,0.3118994031980442,0.050898469912282335,38.630066666666686,176.54313333333343,28.1454447854097,154.36586294883213,6.1751612206967765,26.481373144517693,-0.7046297061711899,-0.03057842646736237,-0.03442207223549012,-0.15954572865963532,-0.024251056334400542,-0.030612127732688066,-0.14188669965946943,-0.021566872240651236,-0.8893168175135635,-0.712199951635919,0.036979585748188715,0.6965425657029206,-0.6847392609954661,1.0,1.0
42,Unilateral,US as Home,0.7000000000000001,0.9987336512889042,0.29838618751326984,4.992967919907536e-06,0.7000000000000001,0.016118846133890977,0.7935787495405133,0.013562217205608832,3.4618849951404886,27.778334748241036,31.240219743381523,3.814391326881789,0.35535881849103124,0.992178064108511,26.07829056182003,4.16975014537282,4.806569390990299,27.07046862592854,26.43364938031106,2.845671602195016,7.97406666666667,2.3943163204254283,0.4513552817695878,0.2979142551683934,0.05744456332263782,38.630066666666686,176.5431333333334,28.10332873995625,154.33928820996636,6.234696441352126,26.489068656814297,-0.8042932806031672,-0.01759410338792878,-0.016997419669724095,-0.17910648037134894,-0.04616958353380477,-0.017605251758965323,-0.18551137407146,-0.04782061968894169,-1.0357602566184738,-0.8351047846601389,0.04287772788103572,0.9456903136001491,-0.9311694544378681,1.0,1.0
48,Unilateral,US as Home,0.8,1.000035492336819,0.34132156994094653,4.740026879887305e-06,0.8,0.016173669311150506,0.7935787495405133,0.013284515348441973,3.2962777877145792,27.796433267055583,31.092711054770163,3.7233039292459815,0.3484184641358048,0.9684849214532035,26.052504788382628,4.071722393381786,4.691788850699185,27.02098970983583,26.40092325251843,2.8553502576876815,7.97406666666667,2.3452899644287055,0.5100602932589756,0.2848456204259709,0.06357284370983385,38.630066666666686,176.54313333333343,28.06308631810678,154.30933617894595,6.293364214281072,26.4990842436887,-0.8985255556157764,0.0004932758091544373,0.0004168680819100808,-0.1985941498012746,-0.06807137786069832,0.0004932670555817253,-0.23499029016416983,-0.08054674748156998,-1.183268945229834,-0.9594409790848379,0.048703468215754886,1.2328825066537008,-1.2175796278077118,1.0,1.0
54,Unilateral,US as Home,0.9,1.0017155950985583,0.38443468550210835,4.539711415583053e-06,0.9,0.016233815654159312,0.7935787495405133,0.013018505914287022,3.1236845589867306,27.81977307161714,30.94345763060387,3.6361317835519933,0.34192575171482986,0.9458101921590935,26.019590582909114,3.978057535266823,4.581941975711087,26.965400775068208,26.361516334623943,2.8659686815409997,7.97406666666667,2.2983278254267634,0.5676408561142364,0.272606434468169,0.06931931724666082,38.630066666666686,176.54313333333346,28.024569013225232,154.2759665715977,6.351260245558402,26.511541397107152,-0.987153271209018,0.023853512647268135,0.017885682195292196,-0.2180670520851955,-0.09002000126303286,0.02383307161713688,-0.29057922493179333,-0.1199536653760589,-1.332522369396127,-1.0853397773577016,0.054457936238701876,1.5584616859732745,-1.5460375705380967,1.0,1.0
